Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Preference Share Capital,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-03-31,6.8,6.8,19.73,19.73,26.53,3.41,2.81,0.0,0.0,6.22,11.84,9.71,7.9,0.96,30.4,63.16,27.03,0.0,0.6,0.0,27.63,0.0,0.0,0.0,29.22,13.01,17.44,0.79,0.0,33.93,63.16,0.28,0.2,0.0,0.0,0.0,0.0,0.0,2.68,0.65,0.0,2.75,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.8,6.8,23.86,23.86,30.66,1.38,3.88,0.0,0.0,5.26,20.26,12.57,9.92,1.31,44.06,79.98,32.18,0.15,1.02,0.0,33.36,0.0,0.0,0.0,33.36,19.07,22.51,0.81,0.0,46.63,79.98,2.26,0.15,2.83,0.0,0.0,0.0,0.0,4.24,5.78,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,6.8,6.8,29.05,29.05,35.85,0.0,4.63,0.0,0.0,4.63,38.03,17.93,8.66,1.63,66.24,106.72,41.14,0.22,4.42,0.0,45.77,0.0,0.0,0.0,45.81,24.05,29.21,1.94,0.0,60.91,106.72,14.45,0.91,3.17,0.0,0.0,0.0,0.0,5.71,5.18,0.0,2.65,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6.8,6.8,34.45,34.45,41.25,29.81,8.13,0.0,0.0,37.93,37.13,23.32,5.18,1.75,67.38,146.57,65.39,0.28,3.54,0.0,69.21,0.0,0.0,0.0,69.25,22.89,37.12,0.46,0.0,77.32,146.57,4.66,2.67,9.57,0.0,0.0,0.0,0.0,16.85,1.09,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,10.2,10.2,35.84,35.84,46.04,32.16,10.5,0.0,0.0,42.66,67.75,33.26,22.62,1.8,125.44,214.14,67.85,0.33,19.9,0.0,88.08,5.2,0.0,0.0,93.32,56.52,43.08,0.78,0.0,120.82,214.14,10.52,3.65,14.61,0.0,3.4,5.2,0.0,20.44,11.14,0.0,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.2,10.2,47.45,47.45,57.65,66.42,13.15,0.0,0.0,79.56,71.55,39.07,32.24,0.08,142.94,280.15,87.49,0.84,27.62,0.0,115.95,18.05,0.0,0.0,134.0,45.3,74.11,0.61,0.0,146.15,280.15,16.82,4.29,5.48,0.0,3.4,18.05,0.0,26.13,18.52,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.2,15.2,78.88,78.88,94.08,77.45,11.77,0.0,0.0,89.22,72.72,48.03,35.0,3.31,159.06,342.35,81.37,0.88,18.23,0.0,100.48,66.23,0.0,0.0,166.71,61.95,68.17,0.56,0.0,175.64,342.35,19.42,3.61,4.81,0.0,3.4,66.23,5.0,44.96,2.27,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.2,15.2,89.1,89.1,104.3,75.17,12.58,0.0,0.0,87.75,118.07,55.52,51.26,3.4,228.25,420.3,122.09,1.52,8.48,0.0,132.09,69.08,7.72,18.26,227.16,63.4,105.35,2.17,22.22,193.14,420.3,32.11,1.55,14.42,0.0,3.4,69.08,5.0,0.0,0.09,0.18,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,10.2,15.2,94.02,94.02,109.22,89.32,13.83,0.0,0.0,103.16,96.72,53.3,65.67,2.98,218.67,431.04,131.88,1.34,10.36,0.0,143.59,71.33,2.01,15.96,232.88,63.29,107.66,4.56,22.65,198.16,431.04,44.6,5.77,7.08,0.0,3.4,71.33,5.0,0.0,1.91,0.05,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,10.2,15.2,104.92,104.92,120.11,67.01,13.92,0.0,0.0,80.93,106.97,57.11,73.03,5.5,242.61,443.66,135.34,0.7,32.01,0.0,168.05,71.33,6.8,9.66,255.83,56.34,110.72,1.54,19.23,187.83,443.66,44.45,5.98,9.16,0.0,3.4,71.33,5.0,0.0,49.87,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
