Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,8.11,8.11,22.28,22.28,0.0,30.4,2.46,0.0,0.0,2.46,13.34,27.56,5.42,51.13,83.98,11.07,5.69,1.05,0.0,0.0,17.81,0.83,0.19,0.0,0.0,18.83,0.0,7.38,22.4,16.1,18.75,0.52,65.15,83.98,1.85,4.34,0.0,16.71,8.0,1.35,0.0,0.83,0.0,0.0,0.0,3.57,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,8.11,8.11,34.08,34.08,0.0,42.19,2.48,0.0,0.0,2.48,37.65,33.83,16.11,87.59,132.26,15.03,5.69,0.36,0.0,0.0,21.08,11.44,0.07,0.0,0.0,32.59,0.0,34.74,22.35,20.12,22.19,0.27,99.67,132.26,1.4,13.68,0.0,106.6,19.36,1.35,10.38,1.11,0.0,0.0,0.0,20.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,16.22,16.22,38.73,38.73,0.0,54.95,3.0,0.0,0.0,3.0,55.57,57.09,25.39,138.05,196.0,21.4,5.69,0.81,0.0,0.0,27.9,38.77,0.0,0.0,0.0,66.67,0.0,31.07,39.46,29.47,29.33,0.0,129.33,196.0,2.72,9.26,0.0,67.47,19.56,9.46,37.17,1.65,0.0,0.0,0.0,26.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,16.78,16.78,131.47,131.47,0.0,148.25,4.14,0.0,0.0,4.14,114.98,263.91,36.83,415.72,577.14,31.48,5.69,8.28,0.0,0.0,45.45,180.7,0.0,0.0,0.0,226.15,0.0,123.02,123.64,37.38,66.94,0.0,350.99,577.14,15.7,12.8,0.66,133.63,51.87,9.46,161.08,23.25,0.0,0.0,0.0,77.68,0.0,0.0,9.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,36.63,36.63,314.2,314.2,0.0,350.84,11.84,0.0,0.0,11.84,94.99,223.68,9.71,328.38,691.06,75.39,11.04,19.54,0.0,0.0,105.97,266.43,4.58,0.0,0.0,376.98,0.0,105.75,157.41,29.0,19.92,2.01,314.09,691.06,30.5,15.0,2.55,274.92,45.84,27.74,245.76,26.5,0.0,0.0,0.0,69.77,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,36.69,36.69,406.77,406.77,0.0,443.46,13.15,0.0,0.0,13.15,74.96,265.2,81.7,434.6,891.21,121.64,11.78,13.74,0.0,0.0,147.16,214.17,0.0,0.0,0.0,361.34,0.0,147.33,174.75,112.78,95.02,0.0,529.88,891.21,14.23,21.66,2.26,301.81,53.44,27.74,197.54,30.35,0.0,0.0,0.0,68.56,0.0,11.58,0.0,12.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,36.95,36.95,495.39,495.39,0.0,532.33,25.98,0.0,0.0,25.98,66.27,154.41,83.0,303.69,862.0,124.95,12.48,47.9,0.0,0.0,185.32,277.11,10.64,0.0,0.0,473.07,0.0,28.3,112.49,126.11,121.59,0.45,388.93,862.0,10.33,26.29,1.32,240.39,27.21,27.74,267.36,11.06,0.0,0.0,0.0,49.36,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,36.96,36.96,521.99,521.99,0.0,558.95,14.32,0.0,5.29,19.6,128.27,165.54,96.29,390.09,968.64,136.38,5.51,13.91,0.0,0.0,155.79,25.23,0.0,6.72,10.0,197.74,238.81,88.2,198.72,127.52,117.65,0.0,770.9,968.64,50.81,19.82,0.0,162.56,21.24,27.74,20.0,5.24,245.61,0.0,0.0,31.66,28.4,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,35.91,35.91,514.87,514.87,0.0,550.78,13.19,0.0,5.52,18.71,139.77,217.87,157.77,515.41,1084.89,161.89,2.71,9.81,0.0,0.0,174.41,89.93,0.0,11.63,10.0,285.98,135.0,142.99,257.61,117.18,146.15,0.0,798.92,1084.89,39.57,30.76,0.9,351.36,12.0,26.95,20.16,69.94,141.16,0.0,0.0,40.96,75.41,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,35.49,35.49,532.55,532.55,0.0,568.04,11.63,0.0,8.97,20.74,121.07,163.94,165.51,450.52,1039.3,171.29,1.58,47.81,0.0,0.0,220.68,101.14,0.0,9.75,10.0,341.58,147.93,108.67,218.01,28.54,194.58,0.0,697.73,1039.3,28.79,27.13,0.73,331.49,7.84,26.95,15.77,86.15,153.55,0.0,0.15,10.83,33.45,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
