Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,150.68,0.0,150.68,74.25,1.27,31.29,5.43,38.05,0.39,2.31,2.7,0.22,2.48,0.0,2.48,0.76,1.72,0.0,1.72,35.97,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2017-12-31,191.16,0.0,191.16,112.65,-2.31,28.83,5.42,39.43,7.14,1.37,8.51,0.25,8.26,0.0,8.26,1.52,6.74,0.0,6.74,35.97,0.38,0.37,0.0,0.0,0.0,0.0,0.0
2018-03-31,217.08,0.0,217.08,110.72,1.26,31.33,5.32,48.05,20.4,9.64,30.04,0.21,29.83,0.0,29.83,6.88,22.95,0.0,22.95,36.19,1.28,1.27,0.0,0.0,0.0,0.0,0.0
2018-06-30,144.31,0.0,144.31,66.5,0.59,33.19,5.32,37.62,1.09,3.03,4.12,0.18,3.94,0.0,3.94,0.78,3.16,0.0,3.16,36.3,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2018-09-30,192.48,0.0,192.48,106.44,-5.9,34.4,5.19,49.22,3.13,5.03,8.16,0.16,8.0,0.0,8.0,2.55,5.45,0.0,5.45,36.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
2018-12-31,278.14,0.0,278.14,158.88,1.43,32.79,4.87,57.83,22.34,7.12,29.46,0.18,29.28,0.0,29.28,7.51,21.77,0.0,21.77,36.48,1.2,1.2,0.0,0.0,0.0,0.0,0.0
2019-03-31,308.33,0.0,308.33,174.06,1.23,32.35,4.6,62.96,33.13,6.74,39.87,0.16,39.71,0.0,39.71,7.67,32.04,0.0,32.04,36.53,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2019-06-30,186.11,0.0,186.11,87.77,-2.4,34.18,4.72,53.81,8.03,7.78,15.81,0.63,15.18,0.0,15.18,2.48,12.7,0.0,12.7,36.56,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2019-09-30,250.32,0.0,250.32,139.63,1.06,35.94,4.7,57.39,11.6,6.61,18.21,0.59,17.62,0.0,17.62,1.56,16.06,0.0,16.06,36.57,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2019-12-31,261.25,0.0,261.25,135.85,0.65,36.58,4.66,62.68,20.83,5.48,26.31,0.61,25.7,0.0,25.7,3.98,21.72,0.0,21.72,36.59,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2020-03-31,244.17,0.0,244.17,115.71,2.32,27.16,4.72,74.83,19.43,10.0,29.43,0.61,28.82,-9.76,19.06,4.81,14.25,0.0,14.25,36.63,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2020-06-30,91.51,0.0,91.51,46.24,1.25,30.21,4.76,27.97,-18.92,4.44,-14.48,0.62,-15.1,0.0,-15.1,-3.8,-11.3,0.0,-11.3,36.63,-0.62,-0.62,0.0,0.0,0.0,0.0,0.0
2020-09-30,208.37,0.0,208.37,120.36,1.31,30.88,4.79,45.6,5.43,3.77,9.2,0.59,8.61,0.0,8.61,2.52,6.09,0.0,6.09,36.63,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2020-12-31,289.44,0.0,289.44,160.21,2.73,35.55,4.82,55.58,30.55,3.51,34.06,0.57,33.49,0.0,33.49,8.43,25.06,0.0,25.06,36.63,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2021-03-31,499.22,0.0,499.22,298.09,-1.75,46.53,4.71,86.39,65.25,4.98,70.23,0.55,69.68,0.0,69.68,18.28,51.4,0.0,51.4,36.63,2.81,2.8,0.0,0.0,0.0,0.0,0.0
2021-06-30,333.67,0.0,333.67,208.58,-0.31,37.43,4.67,58.1,25.2,4.48,29.68,0.51,29.17,0.0,29.17,7.61,21.56,0.0,21.56,36.72,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2021-09-30,462.65,0.0,462.65,312.58,-9.07,48.31,4.72,73.7,32.41,5.91,38.32,0.48,37.84,0.0,37.84,11.17,26.67,0.0,26.67,36.73,1.45,1.45,0.0,0.0,0.0,0.0,0.0
2021-12-31,517.64,0.0,517.64,374.21,-46.17,50.47,4.56,91.74,42.83,4.44,47.27,0.45,46.82,30.0,76.82,12.72,64.1,0.0,64.1,36.73,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2022-03-31,739.28,0.0,739.28,462.41,25.42,49.68,5.89,131.94,63.94,6.83,70.77,0.7,70.07,0.0,70.07,18.0,52.07,0.0,52.07,36.73,2.84,2.83,0.0,0.0,0.0,0.0,0.0
2022-06-30,666.94,0.0,666.94,449.76,-5.74,46.8,5.57,120.78,49.77,4.27,54.04,0.56,53.48,0.0,53.48,12.86,40.62,0.0,40.62,36.73,2.21,2.21,0.0,0.0,0.0,0.0,0.0
2022-09-30,794.24,0.0,794.24,538.91,3.71,57.63,6.37,132.04,55.58,26.27,81.85,0.66,81.19,0.0,81.19,17.11,64.08,0.0,64.08,36.74,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2022-12-31,805.31,0.0,805.31,544.03,-28.38,58.57,6.35,154.66,70.08,7.25,77.33,0.61,76.72,0.0,76.72,21.05,55.67,0.0,55.67,36.74,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2023-03-31,878.74,0.0,878.74,552.04,-4.11,61.87,8.62,173.0,87.32,12.84,100.16,2.39,97.78,0.0,97.78,20.54,77.24,0.0,77.24,36.74,4.2,4.2,0.0,0.0,0.0,0.0,0.0
2023-06-30,649.89,0.0,649.89,411.16,-0.42,54.02,7.98,122.22,54.93,11.12,66.05,0.99,65.06,0.0,65.06,15.9,49.17,0.0,49.17,36.74,2.68,2.68,0.0,0.0,0.0,0.0,0.0
2023-09-30,783.26,0.0,783.26,447.67,17.9,77.47,8.22,161.11,70.89,35.35,106.24,0.93,105.31,0.0,105.31,21.18,84.13,0.0,84.13,36.74,4.58,4.57,0.0,0.0,0.0,0.0,0.0
2023-12-31,717.14,0.0,717.14,393.58,11.72,73.98,9.94,143.65,84.26,9.53,93.79,1.09,92.69,0.0,92.69,21.1,71.6,0.0,71.6,36.76,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2024-03-31,839.28,0.0,839.28,477.08,27.46,69.44,9.88,165.19,90.23,12.47,102.7,1.02,101.68,0.0,101.68,26.16,75.52,0.0,75.52,36.76,4.11,4.11,0.0,0.0,0.0,0.0,0.0
2024-06-30,600.66,0.0,600.66,288.02,5.05,65.8,10.64,155.75,75.41,13.4,88.81,1.12,87.68,28.16,115.84,24.0,91.84,0.0,91.84,36.76,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,703.51,0.0,703.51,393.12,-2.47,69.81,10.54,169.23,63.28,15.7,78.98,1.1,77.88,0.0,77.88,20.01,57.88,0.0,57.88,36.76,3.15,3.15,0.0,0.0,0.0,0.0,0.0
2024-12-31,739.37,0.0,739.37,439.16,-2.78,74.75,12.0,156.74,59.5,16.43,75.93,0.76,75.17,0.0,75.17,19.45,55.72,0.0,55.72,36.76,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2025-03-31,701.12,0.0,701.12,334.3,0.14,78.11,12.01,210.15,66.43,15.41,81.84,1.05,80.79,0.0,80.79,21.79,58.99,0.0,58.99,36.76,3.21,3.21,0.0,0.0,0.0,0.0,0.0
