Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,187.22,2.96,190.18,111.64,-2.35,24.68,3.35,35.55,17.31,9.1,26.41,0.0,26.41,0.0,26.41,3.15,23.26,0.0,23.26,35.49,1.31,1.31,12.21,68.81,5.54,100.0,31.19
2013-03-31,187.77,0.0,187.77,107.06,-5.07,20.04,4.01,46.15,15.58,3.77,19.35,0.0,19.35,0.0,19.35,4.5,14.85,0.0,14.85,35.49,0.84,0.84,12.21,68.81,55.35,100.0,31.19
2013-06-30,123.7,0.0,123.7,53.55,10.83,22.0,3.26,40.24,-6.18,9.91,3.73,0.0,3.73,0.0,3.73,0.74,2.99,0.0,2.99,35.49,0.17,0.17,11.99,67.54,5.76,100.0,32.4
2013-09-30,148.01,0.0,148.01,77.73,-1.01,28.08,3.42,32.51,7.28,4.14,11.42,0.0,11.42,0.0,11.42,2.32,9.1,0.0,9.1,35.49,0.51,0.51,11.96,67.42,5.78,100.0,32.58
2013-12-31,215.77,0.0,215.77,110.23,0.87,26.68,3.86,42.7,31.43,5.37,36.8,0.13,36.67,0.0,36.67,6.82,29.85,0.0,29.85,35.49,1.68,1.68,11.95,67.35,5.79,100.0,32.65
2014-03-31,295.21,0.0,295.21,159.7,-0.66,28.17,3.4,81.12,23.48,3.23,26.71,0.1,26.61,0.0,26.61,6.15,20.46,0.0,20.46,35.49,1.15,1.15,11.9,67.04,5.85,100.0,32.96
2014-06-30,162.87,0.0,162.87,90.3,1.19,26.5,6.56,39.81,-1.49,4.35,2.86,0.03,2.83,0.0,2.83,0.51,2.32,0.0,2.32,35.49,0.13,0.13,11.9,67.04,5.85,100.0,32.96
2014-09-30,208.83,0.0,208.83,119.43,1.06,29.88,6.27,48.86,3.33,9.91,13.24,0.1,13.14,0.0,13.14,1.46,11.68,10.76,22.44,35.49,1.26,1.26,11.81,66.53,5.94,100.0,32.47
2014-12-31,177.34,0.0,177.34,87.8,0.08,26.73,6.55,51.1,5.08,3.83,8.91,0.11,8.8,0.0,8.8,1.0,7.8,0.08,7.88,35.49,0.44,0.44,11.81,66.53,5.94,100.0,33.47
2015-03-31,252.09,0.0,252.09,123.32,0.73,27.19,6.75,67.38,26.72,16.74,43.46,0.06,43.4,0.0,43.4,7.49,35.91,0.0,35.91,35.49,2.02,2.02,11.72,66.02,6.03,100.0,33.98
2015-06-30,145.33,0.0,145.33,70.39,-2.68,33.0,5.56,38.73,0.33,2.32,2.65,0.0,2.65,0.0,2.65,0.48,2.17,0.0,2.17,35.49,0.12,0.12,11.72,66.02,6.03,100.0,33.98
2015-09-30,174.37,0.73,175.1,91.14,-0.68,31.15,5.41,39.53,8.55,3.72,12.27,0.0,12.27,0.0,12.27,2.09,10.18,0.38,10.56,35.58,0.6,0.59,11.76,66.1,6.03,100.0,33.9
2015-12-31,214.62,0.94,215.56,95.22,0.28,32.66,5.34,65.0,17.06,1.82,18.88,0.01,18.87,0.0,18.87,2.31,16.56,0.0,16.56,35.58,0.93,0.93,0.0,0.0,0.0,0.0,0.0
2016-03-31,287.98,0.0,287.98,135.57,2.56,30.53,5.17,73.66,40.49,4.4,44.89,0.0,44.89,0.0,44.89,7.46,37.43,0.0,37.43,35.59,2.11,2.09,0.0,0.0,0.0,0.0,0.0
2016-06-30,172.82,0.0,172.82,83.79,0.64,32.6,5.07,43.63,7.09,3.69,10.78,0.19,10.59,0.0,10.59,2.31,8.28,0.0,8.28,35.61,0.47,0.46,0.0,0.0,0.0,0.0,0.0
2016-09-30,153.64,0.0,153.64,75.82,-2.61,34.7,4.79,33.6,7.34,5.47,12.81,0.19,12.62,0.0,12.62,2.99,9.63,0.0,9.63,35.68,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2016-12-31,171.37,0.0,171.37,88.95,0.88,31.41,4.7,36.83,8.6,3.21,11.81,0.17,11.64,0.0,11.64,2.97,8.67,0.0,8.67,35.76,0.49,0.48,0.0,0.0,0.0,0.0,0.0
2017-03-31,238.97,0.0,238.97,139.37,-2.61,26.22,4.57,45.99,25.43,3.72,29.15,0.18,28.97,0.0,28.97,11.4,17.57,0.0,17.57,35.89,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2017-06-30,138.05,0.0,138.05,67.6,0.83,30.27,5.09,37.65,-3.39,2.85,-0.54,0.18,-0.72,0.0,-0.72,-0.8,0.08,0.0,0.08,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
