Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-12-31,29.88,29.88,32.12,1.02,0.71,2.1,-6.08,15.93,9.85,0.34,9.51,-0.09,9.43,1.58,7.85,7.85,0.05,344.1,0.21
2021-06-30,22.75,22.75,71.6,1.01,0.7,7.03,-57.59,18.3,-39.3,0.31,-39.61,-0.17,-39.78,0.0,-39.78,-39.78,89.9,-0.88,0.0
2021-09-30,22.87,22.87,127.74,0.99,0.67,12.17,-118.7,18.88,-99.82,0.29,-100.11,-0.09,-100.2,0.0,-100.2,-100.2,82.25,-2.44,-2.58
2021-12-31,26.42,26.42,166.61,0.96,1.53,2.51,-145.18,30.91,-114.27,0.27,-114.54,-6.0,-120.55,0.0,-120.55,-120.55,89.9,-2.83,-2.83
2022-03-31,31.14,31.14,117.86,0.94,0.88,3.33,-91.87,46.16,-45.71,0.27,-45.99,6.26,-39.72,-0.56,-39.16,-39.16,89.9,-0.89,-0.89
2022-06-30,28.46,28.46,119.33,0.93,0.8,4.1,-96.69,38.75,-57.94,0.24,-58.18,0.0,-58.18,0.0,-58.18,-58.18,89.9,-1.32,-1.32
2022-09-30,30.3,30.3,119.91,0.94,1.09,3.34,-94.99,52.15,-42.84,0.23,-43.07,0.0,-43.07,0.0,-43.07,-43.07,89.9,-0.97,-0.97
2022-12-31,31.99,31.99,74.18,0.94,0.62,3.41,-47.16,45.04,-2.13,0.21,-2.34,0.0,-2.34,0.0,-2.34,-2.34,90.02,-0.05,-0.05
2023-03-31,43.39,43.39,68.55,0.93,0.51,2.55,-29.15,58.79,29.64,0.21,29.43,0.0,29.43,0.0,29.43,29.43,90.02,0.66,0.65
2023-06-30,35.22,35.22,71.0,0.81,0.08,2.82,-39.5,61.69,22.2,0.18,22.02,0.0,22.02,0.0,22.02,22.02,90.02,0.49,0.48
2023-09-30,13.62,13.62,72.42,0.75,0.0,2.29,-61.84,63.9,2.06,0.17,1.89,0.0,1.89,0.0,1.89,1.89,90.02,0.04,0.04
2023-12-31,27.14,27.14,47.41,0.75,0.0,15.03,-36.05,63.15,27.1,0.14,26.96,0.0,26.96,0.0,26.96,26.96,90.2,0.6,0.59
2024-03-31,34.31,34.31,47.56,0.74,51.27,4.33,-69.59,63.37,-6.22,0.13,-6.35,-0.27,-6.62,8.06,-14.68,-14.68,90.24,-0.33,-0.33
2024-06-30,30.07,30.07,48.86,0.81,30.47,3.58,-53.65,62.2,8.55,0.1,8.45,3.22,11.67,1.77,9.9,9.9,91.21,0.22,0.21
2024-09-30,37.63,37.63,49.03,0.81,0.0,49.1,-61.31,67.71,6.4,0.09,6.31,0.0,6.31,0.92,5.39,5.39,91.23,0.12,0.12
2024-12-31,38.89,38.89,34.52,0.82,0.0,50.78,-47.23,65.36,18.13,0.05,18.08,0.0,18.08,4.11,13.97,13.97,91.84,0.31,0.3
2025-03-31,46.85,46.85,36.76,0.84,99.73,4.96,-95.44,63.22,-32.22,0.04,-32.26,11.16,-21.1,-5.31,-15.79,-15.79,91.85,-0.34,-0.34
