Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,187.19,0.52,187.71,12.68,15.98,9.82,125.58,23.65,1.05,24.7,7.97,16.73,3.33,20.06,5.84,14.22,14.22,28.92,5.28,5.06,1.73,59.89,0.83,71.62,28.73
2013-03-31,145.36,0.6,145.96,9.99,17.05,8.56,112.5,-2.14,0.29,-1.85,8.1,-9.95,0.0,-9.95,-27.64,17.69,17.69,39.62,5.94,5.93,2.73,68.96,0.9,73.22,22.73
2013-06-30,208.1,0.44,208.54,13.75,19.78,10.0,139.63,25.38,0.64,26.02,9.79,16.23,0.0,16.23,0.0,16.23,16.23,39.66,4.1,4.09,2.74,69.0,0.9,73.22,22.7
2013-09-30,235.77,1.06,236.83,15.72,20.28,11.87,156.58,32.38,1.11,33.49,11.66,21.83,0.0,21.83,0.0,21.83,21.83,39.71,5.5,5.5,2.74,69.04,0.9,73.22,22.67
2013-12-31,222.81,0.69,223.5,14.55,21.13,12.47,155.56,19.79,0.74,20.53,13.34,7.19,0.0,7.19,-5.5,12.69,12.69,39.91,3.19,3.19,2.8,70.19,1.14,95.92,28.59
2014-03-31,288.7,0.26,288.96,20.2,25.14,27.79,215.69,0.14,0.41,0.55,17.81,-17.26,20.02,2.76,-4.35,7.11,7.11,41.11,1.74,1.73,2.92,71.06,1.17,97.94,28.34
2014-06-30,342.17,0.54,342.71,25.77,30.41,24.21,235.68,26.64,0.53,27.17,18.7,8.47,0.0,8.47,0.0,8.47,8.47,41.2,2.06,2.06,2.93,71.13,1.17,97.94,28.28
2014-09-30,371.4,0.88,372.28,26.82,32.49,26.68,258.43,27.86,0.23,28.09,19.51,8.58,0.0,8.58,0.0,8.58,8.58,41.25,2.09,2.09,2.93,70.99,1.17,97.95,28.42
2014-12-31,396.83,0.82,397.65,0.0,33.28,27.23,286.81,50.33,0.44,50.77,19.34,31.43,0.0,31.43,0.0,31.43,31.43,41.4,7.63,7.63,2.91,70.4,1.2,98.0,29.01
2015-03-31,273.84,0.98,274.82,0.0,32.85,22.45,233.8,-14.28,1.53,-12.75,19.94,-32.69,-2.17,-34.86,0.0,-34.86,-34.86,41.53,-8.39,-8.44,2.93,70.49,1.2,98.0,28.92
2015-06-30,461.7,0.47,462.17,0.0,37.54,25.13,318.59,80.91,0.65,81.56,21.71,59.85,-3.18,56.67,0.0,56.67,56.67,41.55,13.64,13.6,2.93,70.5,1.2,98.0,28.91
2015-09-30,451.21,0.75,451.96,0.0,38.94,25.48,325.65,61.89,9.13,71.02,20.43,50.59,0.0,50.59,12.13,38.46,38.46,46.57,8.47,8.45,3.43,73.68,1.23,100.0,26.32
2015-12-31,447.75,0.97,448.72,0.0,46.2,27.52,320.86,54.14,6.23,60.37,19.06,41.31,0.0,41.31,11.98,29.33,29.33,46.57,6.3,6.28,3.44,73.97,1.21,100.0,26.03
2016-03-31,378.97,2.16,381.13,0.0,45.26,30.45,295.53,9.89,5.79,15.68,22.08,-6.4,-3.0,-9.4,0.92,-10.32,-10.32,46.69,-2.21,-2.21,3.47,74.3,1.2,100.0,25.7
2016-06-30,526.06,10.22,536.28,0.0,50.73,28.41,372.62,84.52,6.2,90.72,19.09,71.63,-2.58,69.05,24.38,44.67,44.67,46.72,9.59,9.58,3.49,74.74,1.18,100.0,25.26
2016-09-30,499.57,13.13,512.7,0.0,50.42,29.95,377.81,54.52,4.64,59.16,19.19,39.97,0.0,39.97,13.95,26.02,26.02,46.74,5.57,5.57,3.49,74.75,1.18,100.0,25.25
2016-12-31,500.32,8.68,509.0,0.0,53.67,31.26,370.11,53.96,1.97,55.93,20.23,35.7,-1.32,34.38,12.26,22.12,22.12,46.74,4.67,4.67,3.49,74.75,1.18,100.0,25.25
2017-03-31,467.53,0.0,467.53,0.0,49.96,32.32,374.08,11.17,15.48,26.65,21.4,5.25,-1.5,3.75,3.63,0.12,0.12,46.74,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2017-06-30,599.76,0.0,599.76,0.0,63.9,32.68,434.1,69.08,16.61,85.69,20.67,65.02,0.0,65.02,23.9,41.12,41.12,46.74,8.8,8.8,0.0,0.0,0.0,0.0,0.0
