Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,29.19,29.19,229.41,261.97,0.0,291.16,166.35,0.0,0.0,210.16,44.15,141.1,43.89,40.23,269.37,770.68,245.88,7.54,3.14,0.0,256.56,265.33,14.09,0.0,2.09,538.06,0.0,109.44,71.02,5.58,46.57,0.0,232.62,770.68,98.4,9.33,0.0,126.7,0.6,9.57,80.19,203.19,0.0,0.0,43.81,216.12,0.0,0.19,32.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,29.19,29.19,275.86,306.18,0.0,335.36,205.97,0.0,0.0,244.4,50.36,136.03,34.47,49.48,270.35,850.11,227.83,7.54,15.63,0.0,251.0,335.77,13.41,0.0,1.26,601.44,0.0,107.52,86.04,13.78,41.32,0.0,248.66,850.11,143.35,14.06,0.0,153.09,0.64,9.57,227.08,219.07,0.0,0.0,38.43,166.48,0.0,0.37,30.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,29.19,29.19,319.25,342.17,0.0,371.35,253.92,0.0,0.0,300.0,73.22,138.07,19.19,52.02,282.5,953.86,276.09,4.63,5.22,0.0,285.94,371.35,7.9,0.0,22.19,687.38,0.0,118.92,58.07,12.6,76.89,0.0,266.47,953.86,91.25,9.83,0.0,150.82,0.67,9.57,488.76,264.05,0.0,0.0,46.08,236.68,0.0,7.31,22.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,29.19,29.19,363.17,381.43,0.0,410.61,284.83,0.0,0.0,332.56,182.87,158.01,22.52,66.44,429.84,1173.01,255.76,13.79,17.49,0.0,287.04,485.67,7.93,0.0,16.02,796.66,0.0,155.15,92.53,25.36,103.3,0.0,376.35,1173.01,111.03,15.93,0.0,222.24,0.74,9.57,340.22,393.51,0.0,0.0,47.73,262.13,0.0,4.33,18.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,31.98,31.98,1009.73,1026.44,0.0,1058.42,196.91,0.0,0.0,245.1,238.76,215.51,30.03,85.53,569.83,1873.34,252.49,14.0,4.94,0.0,271.42,775.48,11.99,0.0,10.68,1069.58,0.0,197.71,156.4,294.29,155.36,0.0,803.77,1873.34,124.54,12.78,0.0,301.97,0.29,9.57,333.66,645.23,0.0,0.0,48.18,333.32,0.0,0.09,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,31.98,31.98,981.05,995.15,0.0,1027.12,238.34,0.0,0.0,283.17,362.62,109.53,30.92,77.95,581.03,1891.32,249.59,14.28,24.84,0.0,288.71,1148.08,12.04,0.0,3.86,1452.69,0.0,93.56,161.0,28.51,155.56,0.0,438.63,1891.32,106.28,18.21,0.0,321.84,2.07,9.57,757.25,617.75,0.0,0.0,44.82,226.69,0.0,12.51,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,31.76,31.76,978.07,990.93,0.0,1022.7,262.42,0.0,0.0,305.45,285.19,184.84,25.51,69.34,564.88,1893.03,261.35,14.96,21.98,0.0,298.29,1147.62,11.05,0.0,0.0,1456.96,0.0,134.77,110.87,15.09,175.35,0.0,436.07,1893.03,64.4,9.29,0.01,299.64,0.06,9.57,1942.23,595.8,0.0,0.0,43.03,232.79,0.0,0.02,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,31.76,31.76,1046.89,1058.38,0.0,1090.14,197.73,0.0,5.51,239.16,115.73,318.75,396.96,69.43,900.87,2230.17,312.8,1.37,4.35,0.0,318.52,1227.99,0.0,129.55,4.3,1680.36,5.75,185.09,122.63,38.03,64.13,134.18,549.81,2230.17,134.76,12.83,0.0,388.47,13.26,9.57,5899.52,458.47,0.0,5.75,35.92,346.57,3.31,0.0,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,31.76,31.76,1190.23,1200.79,0.0,1232.55,181.1,0.0,6.5,223.36,94.49,601.78,396.91,68.99,1162.17,2618.08,330.66,0.84,141.79,0.0,473.29,1349.83,0.0,113.51,0.0,1936.63,3.98,199.83,133.28,59.82,125.8,158.74,681.45,2618.08,294.69,12.42,0.01,544.51,23.38,9.57,6498.61,506.44,0.0,3.98,35.76,398.6,3.19,0.4,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,33.52,33.52,1582.88,1590.6,0.0,1624.12,422.36,0.0,10.02,466.76,445.26,430.57,159.1,74.47,1109.4,3200.28,320.85,0.53,489.02,0.0,810.4,1278.27,0.0,87.23,0.0,2175.9,60.98,138.25,139.62,446.54,146.72,92.27,1024.38,3200.28,214.16,21.33,0.0,497.3,237.58,9.57,8278.72,375.06,0.0,75.4,34.38,236.74,1.72,7.59,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
