Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,305.26,32.76,338.02,219.46,1.08,17.98,28.01,5.5,62.07,3.92,8.09,12.01,12.46,-0.45,136.76,136.31,4.94,131.37,131.37,33.51,4.01,4.0,8.39,25.02,25.12,100.0,74.98
2013-03-31,330.17,25.96,356.13,213.14,0.88,24.53,28.59,6.6,74.55,7.84,11.4,19.24,16.4,2.84,-2.32,0.52,-3.05,3.57,3.57,33.52,0.11,0.11,8.39,25.04,25.12,100.0,74.98
2013-06-30,288.57,57.36,345.93,216.98,0.88,-14.74,34.2,5.43,78.85,24.33,13.96,38.29,16.24,22.05,25.0,47.05,2.34,44.71,44.71,33.52,1.33,1.33,8.39,25.04,25.12,100.0,74.96
2013-09-30,308.46,47.52,355.98,248.2,0.88,-34.95,29.04,5.49,74.27,33.05,18.2,51.25,22.57,28.68,0.0,28.68,-1.16,29.84,29.84,33.55,0.89,0.88,8.42,25.11,25.12,100.0,74.89
2013-12-31,334.59,29.91,364.5,243.49,1.06,2.28,28.87,5.06,69.21,14.53,4.05,18.58,26.22,-7.64,0.0,-7.64,0.9,-8.54,-8.54,33.55,-0.25,-0.25,8.42,25.11,25.12,100.0,74.89
2014-03-31,364.03,23.11,387.14,275.73,0.88,-6.21,20.22,8.63,85.06,2.83,4.56,7.39,29.81,-22.42,79.21,56.79,3.11,53.68,53.68,33.55,1.6,1.59,8.42,25.11,25.12,100.0,74.89
2014-06-30,349.4,48.74,398.14,263.3,0.87,-14.04,30.6,6.47,71.64,39.3,5.69,44.99,32.15,12.84,31.05,43.89,2.8,41.09,41.09,33.55,1.22,1.22,8.42,25.11,25.12,100.0,74.89
2014-09-30,359.14,61.92,421.06,268.01,0.89,0.29,31.21,7.1,73.21,40.35,9.97,50.32,34.57,15.75,39.04,54.79,2.88,51.91,51.91,33.55,1.55,1.55,8.42,25.11,25.12,100.0,74.89
2014-12-31,308.46,17.76,326.22,228.52,0.99,0.0,31.39,7.75,76.47,-18.9,6.96,-11.94,34.67,-46.61,58.52,11.91,0.0,11.91,11.91,33.55,0.35,0.35,8.42,25.11,25.12,100.0,74.89
2015-03-31,294.93,14.29,309.22,182.58,0.64,39.88,34.4,7.27,62.52,-18.07,15.0,-3.07,46.35,-49.42,71.0,21.58,-22.32,43.9,43.9,33.59,1.31,1.31,8.45,25.17,25.13,100.0,74.83
