Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,OtherCurrentAssets,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Trade Payables,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Inventories,Trade Receivables,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,100.0,100.0,9681.39,9681.39,9781.39,0.0,0.0,5451.88,2277.17,7729.05,17510.45,104.18,0.0,0.0,104.18,12728.42,35.25,0.0,208.28,13076.13,1974.34,940.89,4434.31,17510.45,0.0,0.0,0.0,50.0,0.0,0.0,1519.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,150.0,150.0,11013.38,11013.38,11163.38,0.0,0.0,6085.25,2578.57,8663.82,19827.21,114.41,0.0,0.0,114.41,14575.23,84.07,0.0,154.72,14928.43,2286.09,874.13,4898.78,19827.21,0.0,0.0,0.0,50.0,0.0,0.0,1738.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,200.0,200.0,20732.08,20732.08,20932.08,0.0,0.0,7762.08,3249.98,11012.06,31944.14,115.24,0.0,0.0,115.24,24632.87,10.16,0.0,0.0,24758.27,2857.93,4327.94,7185.87,31944.14,7.32,0.0,0.0,196.15,0.0,24632.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,200.0,200.0,14539.45,14539.45,14739.45,0.0,0.0,8976.11,3215.21,12191.32,26930.76,158.17,0.0,0.0,158.17,17767.57,23.31,0.0,0.0,17949.05,3320.84,5660.88,8981.72,26930.76,8.63,0.0,0.0,196.15,0.0,17767.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,200.0,200.0,22871.94,22871.94,23071.94,0.0,0.0,9480.57,4280.39,13760.96,36832.91,162.15,0.0,0.0,162.15,26203.22,94.58,559.35,0.0,27019.3,4365.19,5448.42,9813.61,36832.91,126.7,0.0,0.0,196.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,200.0,200.0,23643.55,23643.55,23843.55,0.0,0.0,11278.36,4636.61,15914.97,39758.52,156.83,0.0,0.0,156.83,28478.22,101.86,485.66,137.25,29359.82,5304.45,5094.25,10398.7,39758.52,150.02,0.0,0.0,196.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,200.0,200.0,22976.49,22976.49,23176.49,0.0,0.0,13470.95,5618.24,19089.19,42265.68,154.72,0.0,0.0,154.72,28203.22,132.33,423.31,102.94,29016.52,7142.17,6106.99,13249.16,42265.68,1.96,0.0,0.0,196.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,200.0,200.0,24084.5,24084.5,24284.5,0.0,0.0,14507.66,6651.99,21159.65,45444.15,152.86,0.0,0.0,152.86,31173.35,137.24,385.7,68.62,31917.79,7407.99,6118.37,13526.36,45444.15,260.46,0.0,0.0,196.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,200.0,200.0,27271.75,27271.75,27471.75,0.0,0.0,17854.68,7718.73,25573.41,53045.17,177.83,0.0,0.0,177.83,35297.34,161.56,401.16,34.31,36072.2,8965.0,8007.97,16972.97,53045.17,2603.31,0.0,0.0,196.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,200.0,200.0,33253.84,33253.84,33453.84,0.0,0.0,19444.14,8821.65,28265.79,61719.63,201.55,0.0,0.0,201.55,44960.81,169.64,367.69,0.0,45699.69,8250.23,7769.7,16019.93,61719.63,2868.0,0.0,0.0,196.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
