Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Capital Goods,Money Received Against Share Warrants,Capital Work-In-Progress,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2006-03-31,135.0,135.0,68.97,68.97,203.97,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.99,204.96,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,20.71,184.24,0.0,204.95,204.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,135.0,135.0,122.92,122.92,257.92,0.0,0.0,0.0,23.38,0.0,0.0,55.2,61.04,342.35,5.31,0.0,5.5,0.0,0.0,5.5,0.0,0.0,21.58,312.86,2.41,336.85,342.35,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.38,5.84,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,135.0,135.0,178.91,178.91,313.91,389.02,0.0,0.0,420.87,0.0,0.0,147.86,167.61,902.4,4.79,0.0,4.82,0.0,0.0,4.82,0.0,0.0,41.91,843.37,12.29,897.57,902.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.86,19.75,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,135.0,135.0,201.27,201.27,336.27,570.03,0.0,0.0,584.24,0.0,0.0,37.04,61.58,982.09,3.8,0.0,3.92,0.0,0.0,61.93,0.0,0.0,32.19,873.25,14.73,920.16,982.09,0.11,0.0,0.0,0.0,0.0,58.01,0.0,0.0,0.0,14.21,24.54,58.01,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,135.0,135.0,219.68,219.68,354.68,963.66,0.0,0.0,971.16,0.0,0.0,92.45,110.07,1435.91,3.88,0.0,3.93,0.0,0.0,376.98,0.0,0.0,170.31,877.29,11.32,1058.92,1435.91,0.02,0.0,0.0,0.0,0.0,373.05,0.0,0.0,0.0,7.5,17.62,373.05,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,155.69,155.69,799.39,799.39,955.08,4496.26,0.02,37.57,4533.85,1312.58,0.11,613.88,1947.4,7436.34,5.89,0.09,5.98,10.65,1.84,6814.83,43.0,0.0,82.3,414.54,81.66,621.51,7436.34,31.2,0.0,0.0,0.0,0.0,0.0,43.28,0.0,0.0,0.0,20.83,0.0,6796.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,62.5,62.5,4763.72,4763.72,4939.04,18234.46,7.84,366.95,18609.25,6381.01,2.85,7794.71,15000.1,38548.39,44.07,0.85,44.93,163.17,483.73,27333.74,2168.62,1.81,4845.53,3846.65,352.05,11214.65,38548.39,782.46,6.81,5.68,0.0,0.0,324.93,2167.23,27.18,0.0,0.0,821.53,324.93,26316.99,0.0,112.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,66.81,66.81,5400.37,5400.37,5467.17,19904.41,0.22,361.92,20266.55,8447.4,2.33,8031.36,17344.43,43078.16,45.6,0.42,46.03,179.4,770.45,31032.3,2889.34,0.56,4299.71,4520.58,335.66,12045.86,43078.16,495.28,12.97,20.01,1.52,0.0,602.11,820.93,2073.0,0.0,0.0,863.34,602.11,29434.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,71.11,71.11,6421.1,6421.1,6492.22,28633.23,238.92,471.96,29346.51,10491.48,3.16,8525.46,19303.88,55142.61,50.68,0.92,51.6,0.0,350.52,40146.84,5982.01,1.42,3292.89,5221.7,497.75,14995.77,55142.61,396.06,31.42,14.67,0.87,0.0,749.32,3333.02,2653.91,0.0,2.4,283.78,749.32,38995.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,84.26,84.26,10419.57,10419.57,10503.83,35137.92,154.07,672.6,36045.83,13660.82,9.01,14675.65,28551.32,75100.98,63.31,1.94,65.25,0.0,394.38,54223.49,9791.07,1.33,2711.93,7745.63,627.53,20877.49,75100.98,581.99,97.21,6.79,0.0,0.0,1456.89,2596.48,7210.08,0.0,81.24,205.85,1456.89,52306.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
