Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,359.33,14.94,374.28,4.37,0.24,0.0,11.47,358.2,0.43,358.62,239.92,118.7,118.7,30.65,88.05,88.05,155.69,0.0,5.66,5.66,0.0,0.0,15.57,100.0,100.0
2013-03-31,1202.63,102.63,1305.26,44.28,2.03,0.0,102.61,1156.34,10.58,1166.93,693.92,473.01,473.01,112.05,360.96,360.96,62.5,0.0,11.55,11.04,19.45,62.25,11.8,100.0,37.75
2013-06-30,1163.67,97.36,1261.04,60.75,2.02,0.0,83.98,1114.29,31.25,1145.53,708.47,437.06,437.06,110.19,326.87,326.87,62.5,0.0,10.46,9.99,19.45,62.25,11.8,100.0,37.75
2013-09-30,1348.13,56.11,1404.24,57.04,1.94,0.0,83.33,1261.93,19.45,1281.38,801.8,479.58,479.58,126.47,353.11,353.11,66.02,0.0,10.84,10.74,19.45,58.93,13.56,100.0,41.07
2013-12-31,1418.97,79.37,1498.34,55.76,1.94,0.0,57.5,1383.13,8.77,1391.9,890.57,501.33,501.33,129.83,371.5,371.5,66.74,0.0,11.18,11.11,19.53,58.53,13.84,100.0,41.47
2014-03-31,1210.88,79.81,1290.7,47.02,1.75,0.0,169.38,1072.55,241.68,1314.22,831.41,482.81,482.81,24.3,458.52,458.52,66.81,0.0,13.73,13.65,19.44,58.19,13.96,100.0,41.81
2014-06-30,1270.22,46.22,1316.44,60.66,5.3,0.0,94.59,1155.89,227.95,1383.84,865.59,518.25,518.25,106.04,412.21,412.21,66.87,0.0,12.33,11.94,19.47,58.23,13.96,100.0,41.77
2014-09-30,1390.01,77.3,1467.3,78.82,3.71,0.0,85.77,1299.0,313.24,1612.24,932.8,679.44,679.44,113.66,565.77,565.77,71.02,0.0,16.68,16.14,25.62,72.15,8.14,82.3,22.92
2014-12-31,1580.4,80.32,1660.71,69.51,4.51,0.0,126.8,1459.89,164.71,1624.6,1003.63,620.97,620.97,147.65,473.32,473.32,71.03,0.0,13.33,13.1,25.63,72.16,8.14,82.3,22.91
2015-03-31,1692.59,110.69,1803.28,70.31,4.48,0.0,204.63,1523.85,232.14,1755.99,1041.49,714.51,714.51,187.58,526.93,526.93,71.11,0.0,14.82,14.45,25.67,72.19,8.64,87.36,24.3
2015-06-30,1698.21,59.13,1757.34,80.83,4.41,0.0,88.09,1584.0,189.74,1773.74,1097.38,676.36,676.36,177.0,499.36,499.36,71.13,0.0,14.04,13.69,25.68,72.19,8.64,87.36,24.3
2015-09-30,1812.53,96.03,1908.56,94.03,4.91,0.0,129.32,1680.3,252.0,1932.31,1205.44,726.87,726.87,182.3,544.57,544.57,83.85,19783.93,14.71,14.4,0.0,0.0,0.0,0.0,0.0
2015-12-31,1919.27,75.16,1994.43,90.43,5.01,0.0,114.36,1784.63,226.08,2010.71,1200.66,810.05,810.05,201.7,608.35,608.35,84.12,0.0,14.48,14.27,0.0,0.0,0.0,0.0,0.0
2016-03-31,2272.6,0.0,2272.6,103.34,5.04,0.0,226.52,1937.71,241.16,2178.87,1338.93,839.94,839.94,198.1,641.84,641.84,84.26,0.0,15.24,15.06,0.0,0.0,0.0,0.0,0.0
2016-06-30,2213.61,93.92,2307.54,107.17,4.75,0.0,166.73,2028.88,220.25,2249.14,1385.73,863.41,863.41,236.94,626.48,626.48,84.27,0.0,14.87,14.69,0.0,0.0,0.0,0.0,0.0
2016-09-30,2329.7,67.29,2396.99,123.03,4.95,0.0,171.59,2097.42,363.37,2460.79,1607.36,853.43,853.43,212.33,641.11,641.11,84.38,0.0,15.2,15.01,0.0,0.0,0.0,0.0,0.0
2016-12-31,2422.42,92.27,2514.69,120.69,5.27,0.0,177.66,2211.07,413.16,2624.23,1610.91,1013.32,1013.32,260.22,753.1,753.1,84.75,0.0,17.8,17.61,0.0,0.0,0.0,0.0,0.0
2017-03-31,2812.49,0.0,2812.49,102.69,5.74,0.0,331.36,2372.69,288.68,2661.37,1710.75,950.62,950.62,128.92,821.7,821.7,84.77,0.0,19.39,19.19,0.0,0.0,0.0,0.0,0.0
2017-06-30,2789.29,0.0,2789.29,122.33,6.26,0.0,213.95,2446.74,260.64,2707.38,1718.26,989.12,989.12,255.06,734.05,734.05,84.87,0.0,17.31,17.11,0.0,0.0,0.0,0.0,0.0
2017-09-30,2908.75,0.0,2908.75,137.03,6.61,0.0,219.63,2545.49,269.6,2815.09,1784.75,1030.34,1030.34,234.27,796.06,796.06,84.88,0.0,18.75,18.52,0.0,0.0,0.0,0.0,0.0
2017-12-31,3115.89,0.0,3115.89,141.46,6.82,0.0,410.96,2556.65,755.85,3312.51,1874.78,1437.72,1437.72,353.67,1084.05,1084.05,85.19,0.0,25.48,25.19,0.0,0.0,0.0,0.0,0.0
