Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2018-03-31,2650.17,2650.17,2444.5,43.54,1.17,14.88,146.08,55.79,201.87,11.76,190.11,0.0,190.11,26.6,163.51,163.51,2085.02,37.81,0.0,0.78
2018-06-30,1850.31,1850.31,0.0,38.61,1.32,1723.31,87.07,62.1,149.17,11.21,137.96,0.0,137.96,28.69,109.26,109.26,2085.02,0.0,0.52,0.52
2018-09-30,3622.87,3622.87,0.0,77.6,2.71,3383.76,158.81,147.46,306.27,20.56,285.72,0.0,285.72,27.57,258.15,258.15,2085.02,0.0,0.0,0.58
2018-12-31,3018.74,3018.74,0.0,38.62,1.26,2788.05,190.81,62.98,253.78,9.34,244.44,0.0,244.44,53.15,191.29,191.29,2085.02,0.0,0.0,0.92
2019-03-31,3418.44,3418.44,3171.81,45.88,1.77,23.37,175.62,62.19,237.81,22.08,215.73,12.42,228.15,42.31,185.84,185.84,2085.02,0.0,0.89,0.89
2019-06-30,2845.64,2845.64,0.0,45.89,4.46,2634.63,160.65,52.68,213.33,17.14,196.19,0.0,196.19,46.15,150.04,150.04,2085.02,0.0,0.72,0.72
2019-09-30,3765.0,3765.0,0.0,52.56,4.13,3515.85,192.45,82.46,274.91,8.88,266.03,0.0,266.03,21.45,244.58,244.58,2085.02,0.0,1.17,1.17
2019-12-31,3699.27,3699.27,0.0,45.64,3.91,3436.68,213.03,73.86,286.89,7.02,279.87,0.0,279.87,81.93,197.94,197.94,2085.02,0.0,0.95,0.95
2020-03-31,4220.67,4220.67,0.0,45.84,7.78,3966.94,200.11,56.58,256.69,7.94,248.75,0.0,248.75,51.45,197.3,197.3,2085.02,0.0,0.95,0.95
2020-06-30,2910.83,2910.83,2692.04,50.88,8.01,26.44,133.46,55.95,189.42,7.73,181.69,0.0,181.69,38.54,143.15,143.15,2085.02,0.0,0.69,0.69
2020-09-30,3182.57,3182.57,0.0,53.69,5.4,2964.36,159.12,66.01,225.13,6.62,218.5,0.0,218.5,45.75,172.76,172.76,2085.02,0.0,0.83,0.83
2020-12-31,3732.38,3732.38,0.0,49.19,4.35,3462.98,215.86,132.45,348.31,6.1,342.21,0.0,342.21,61.44,280.77,280.77,2085.02,0.0,1.35,1.35
2021-03-31,5577.88,5577.88,0.0,54.0,5.16,5169.95,348.77,72.34,421.11,7.82,413.29,0.0,413.29,69.41,343.88,343.88,2085.02,0.0,1.65,1.65
2021-06-30,3869.1,3869.1,0.0,50.93,4.61,3590.05,223.51,62.64,286.15,6.72,279.43,0.0,279.43,68.07,211.36,211.36,2085.02,0.0,1.01,1.01
2021-09-30,4025.82,4025.82,3719.6,53.33,4.7,25.93,222.26,55.34,277.6,5.69,271.91,0.0,271.91,49.85,222.06,222.06,2085.02,0.0,1.07,1.07
2021-12-31,5049.14,5049.14,4658.74,49.73,4.22,21.55,314.9,74.71,389.61,8.19,381.42,0.0,381.42,99.64,281.78,281.78,2085.02,0.0,1.35,1.35
2022-03-31,6437.64,6437.64,0.0,49.2,7.36,5981.21,399.87,219.65,619.52,146.19,473.33,0.0,473.33,101.32,372.01,372.01,2085.02,0.0,1.78,1.78
2022-06-30,4640.75,4640.75,0.0,48.1,5.95,4312.02,274.68,241.17,515.85,157.29,358.56,0.0,358.56,75.46,283.1,283.1,2085.02,0.0,1.36,1.36
2022-09-30,4908.9,4908.9,0.0,53.84,4.82,4538.77,311.47,217.69,529.16,130.83,398.33,0.0,398.33,99.75,298.58,298.58,2085.02,0.0,1.43,1.43
2022-12-31,5010.67,5010.67,4662.98,47.97,5.67,24.95,269.1,283.84,552.94,146.94,406.0,0.0,406.0,64.98,341.02,341.02,2085.02,0.0,1.64,1.64
2023-03-31,5721.25,5721.25,0.0,37.24,5.82,5311.61,366.58,261.24,627.82,146.31,481.51,0.0,481.51,136.23,345.28,345.28,2085.02,0.0,1.66,1.66
2023-06-30,5446.25,5446.25,5014.28,45.49,5.48,38.76,342.24,280.36,622.6,146.05,476.55,0.0,476.55,142.98,333.57,333.57,2085.02,0.0,1.6,1.6
2023-09-30,4909.79,4909.79,0.0,44.62,6.19,4568.08,290.9,296.45,587.35,132.69,454.66,0.0,454.66,84.57,370.09,370.09,2085.02,0.0,1.77,1.77
2023-12-31,4675.85,4675.85,4331.43,49.68,4.8,48.46,241.48,326.45,567.93,138.99,428.94,0.0,428.94,102.96,325.98,325.98,2085.02,0.0,1.56,1.56
2024-03-31,6700.69,6700.69,0.0,44.39,4.34,6201.23,450.73,279.29,730.02,150.75,579.27,0.0,579.27,145.95,433.32,433.32,2085.02,0.0,2.08,2.08
2024-06-30,4064.27,4064.27,3791.55,46.03,6.87,50.61,169.22,262.06,431.27,137.34,293.94,0.0,293.94,76.13,217.81,217.81,2085.02,0.0,1.05,1.05
