Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Equity Share Application Money,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools"
2004-03-31,270.05,270.05,-0.53,-0.53,269.52,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,9.6,509.07,6.3,0.0,252.09,0.0,258.39,104.48,0.0,0.0,2.54,365.41,0.0,0.0,143.59,0.06,0.01,143.66,509.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,800.0,800.0,-0.65,-0.65,799.35,0.0,0.0,0.0,0.14,0.0,0.0,16.24,1.3,17.54,994.38,15.38,0.0,691.55,0.0,706.93,100.0,0.0,0.0,2.53,809.46,0.0,0.0,181.96,2.96,0.0,184.92,994.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.35,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,950.0,950.0,1.24,1.24,951.24,518.0,0.0,0.0,518.0,0.0,0.0,79.62,2.04,81.66,1750.92,2.79,0.0,1534.89,0.0,1537.68,100.0,0.0,0.0,2.03,1639.71,0.0,0.0,95.92,15.28,0.01,111.21,1750.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1150.02,1150.02,12.5,12.5,1162.52,1438.0,0.0,0.0,1438.0,0.0,0.0,222.63,4.79,227.42,3342.94,2.97,0.0,0.0,0.0,2.97,100.08,0.0,0.0,1.52,104.57,2573.71,60.02,524.94,79.7,0.0,3238.37,3342.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,2015.02,2015.02,35.08,35.08,2050.1,2375.0,0.0,0.0,2375.0,0.0,0.0,340.2,17.89,358.09,4853.19,3.29,0.0,0.0,0.0,3.29,189.18,0.51,0.0,1.01,193.99,3649.0,33.85,410.08,181.09,385.18,4659.2,4853.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,2085.02,2085.02,66.56,66.56,2151.58,3910.0,0.0,0.0,3910.0,0.0,0.0,467.29,42.17,509.47,6571.04,3.37,0.0,0.0,0.0,3.37,295.87,1.0,0.0,0.51,300.74,5461.53,47.86,426.88,334.03,0.0,6270.3,6571.04,0.07,0.0,0.0,0.25,295.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,2085.02,2085.02,106.76,106.76,2191.78,5226.06,0.0,0.0,5226.06,0.0,0.0,718.64,35.99,754.63,8172.48,2.72,0.0,0.0,0.0,2.72,333.28,1.17,0.0,0.0,337.16,6715.97,79.54,618.13,421.68,0.0,7835.31,8172.48,42.26,0.0,0.0,0.4,333.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,2085.02,2085.02,153.28,153.28,2238.3,4071.03,320.31,0.59,4391.93,100.67,200.63,334.75,32.74,668.79,7299.02,3.81,0.03,0.0,0.0,3.84,361.78,0.0,320.31,2.45,688.38,0.0,77.51,268.18,172.06,5982.4,6610.64,7299.02,335.69,0.0,0.0,0.0,361.78,110.49,110.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,2085.02,2085.02,226.77,226.77,2311.79,5708.43,338.38,1.55,6048.37,125.08,184.23,367.07,44.24,720.63,9080.78,4.69,0.14,0.0,0.0,4.83,395.43,0.0,338.57,5.5,744.33,0.0,134.59,473.18,213.7,7352.49,8336.45,9080.78,4597.84,0.0,0.0,0.21,395.43,162.5,162.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2085.02,2085.02,332.59,332.59,2417.61,7693.35,446.53,2.34,8142.22,155.92,157.36,469.13,64.81,847.21,11407.04,7.68,0.08,0.0,0.0,7.76,414.25,0.0,447.52,5.58,875.11,0.0,259.73,386.63,134.45,9509.12,10531.93,11407.04,8134.9,0.0,0.0,0.72,414.25,242.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
