Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2023-06-30,1007.52,1007.52,280.41,290.73,-123.97,146.62,41.11,314.06,58.56,36.5,95.06,54.21,40.85,-9.19,31.66,-6.05,37.71,2059.06,2096.77,1.53,0.0,2740.88,0.0
2023-09-30,1377.79,1377.79,101.78,620.07,-76.34,141.03,46.63,380.71,163.91,48.3,212.21,37.76,174.45,0.0,174.45,58.4,116.05,0.0,116.05,1.53,0.0,19.05,19.05
2023-12-31,1351.58,1351.58,208.04,363.92,35.5,151.7,45.0,365.69,181.73,36.58,218.31,37.05,181.26,0.0,181.26,42.63,138.63,0.0,138.63,1.53,0.0,22.75,22.75
2024-03-31,1336.7,1336.7,143.6,415.26,64.53,156.35,55.74,364.69,136.53,39.05,175.58,42.43,133.15,0.0,133.15,33.24,99.91,106.14,206.05,1.53,9585.46,269.35,0.0
2024-06-30,882.78,882.78,166.64,269.42,-53.47,147.75,58.35,315.0,-20.91,31.05,10.14,40.99,-30.85,-0.48,-31.33,-7.39,-23.94,0.0,-23.94,1.53,0.0,-3.93,-3.93
2024-09-30,1315.48,1315.48,142.19,440.25,20.15,156.41,60.33,384.67,111.48,29.24,140.72,47.0,93.72,-59.44,34.28,8.14,26.14,0.0,26.14,12.18,0.0,4.29,4.29
2024-12-31,1340.04,1340.04,175.43,363.21,54.44,152.69,63.39,442.61,88.27,34.12,122.39,49.03,73.36,-0.38,72.98,19.69,53.29,0.0,53.29,12.18,0.0,8.75,8.75
2025-03-31,1142.98,1142.98,68.44,511.24,-55.06,134.43,74.61,478.66,-69.34,36.71,-32.63,46.15,-78.78,-1.98,-80.76,-16.27,-64.49,11.11,-53.38,12.18,0.0,-10.59,-10.59
