Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,61.38,61.38,987.17,987.17,1048.55,0.0,361.46,0.0,424.84,115.05,105.82,74.56,83.73,379.15,1852.55,405.5,0.93,14.79,0.0,0.0,421.22,712.81,6.37,0.0,1.18,1141.58,0.0,294.91,246.15,26.76,140.1,3.06,710.97,1852.55,259.24,27.63,0.02,213.46,0.7,42.53,67.78,662.58,0.0,0.0,63.39,123.26,0.0,0.0,14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,61.38,61.38,1042.55,1042.55,1103.94,0.0,448.2,0.0,515.85,124.58,110.52,84.53,56.05,375.67,1995.46,509.47,3.24,62.92,0.0,0.0,575.63,734.27,13.63,0.0,0.0,1323.53,0.0,287.57,226.28,13.25,144.84,0.0,671.93,1995.46,488.95,31.9,0.02,264.28,1.06,42.53,137.95,630.83,0.0,0.0,67.65,129.28,0.0,0.0,106.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,61.38,61.38,1128.56,1128.56,1189.95,0.0,669.55,0.0,753.2,98.32,166.5,95.77,67.71,428.31,2371.45,685.83,3.24,156.05,0.0,0.0,845.12,736.6,19.61,0.0,0.0,1601.34,0.0,319.04,248.47,25.03,177.57,0.0,770.11,2371.45,544.05,40.65,0.02,268.67,0.15,42.53,164.15,632.35,0.0,0.0,83.64,136.54,0.0,0.0,155.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,61.38,61.38,1294.78,1294.78,1356.16,0.0,598.28,0.0,673.07,189.33,177.23,113.61,80.64,560.81,2590.04,663.52,12.54,85.69,0.0,0.0,761.74,984.48,18.91,0.0,0.0,1765.13,0.0,283.66,268.77,25.61,246.86,0.0,824.91,2590.04,297.08,42.33,0.02,208.07,18.04,42.53,149.73,893.3,0.0,0.0,74.79,149.21,0.0,0.0,187.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,61.38,61.38,1336.9,1336.9,1398.29,0.0,683.36,0.0,765.13,203.65,170.43,112.02,75.54,561.65,2745.93,703.09,16.43,13.58,0.0,0.0,733.11,1047.3,22.1,0.0,0.0,1802.51,0.0,329.74,289.89,21.82,301.97,0.0,943.42,2745.93,428.23,40.58,0.03,151.08,0.42,42.53,149.85,968.18,0.0,0.0,81.77,177.7,0.0,0.0,9.18,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,61.38,61.38,1065.6,1065.6,1126.98,0.0,1120.96,0.0,1220.95,224.1,220.05,130.39,59.67,634.21,3003.01,981.16,17.88,62.11,0.0,0.0,1061.15,888.59,71.61,0.0,0.0,2021.36,0.0,340.4,304.48,46.8,289.97,0.0,981.65,3003.01,446.45,44.68,0.01,187.07,0.43,42.53,46.62,842.83,0.0,0.0,99.98,156.26,0.0,0.0,23.79,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,61.38,61.38,1111.53,1111.53,1172.91,0.0,1106.2,0.0,1205.57,146.51,192.95,110.72,53.11,503.29,2881.77,922.54,17.88,41.64,0.0,0.0,982.06,889.54,78.32,0.0,0.0,1949.92,0.0,284.5,296.94,26.56,321.6,2.25,931.86,2881.77,295.29,35.86,0.0,128.77,0.53,42.53,41.15,857.98,0.0,0.0,99.37,142.02,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,61.38,61.38,1004.2,1004.2,1065.58,0.0,891.66,94.39,986.06,194.25,197.55,321.53,44.68,758.01,2809.65,857.74,0.0,77.39,0.0,0.0,935.12,376.35,27.83,282.68,8.92,1630.9,363.78,413.09,320.46,15.51,38.42,27.5,1178.75,2809.65,331.0,27.08,0.0,94.9,1.03,42.53,24.0,352.35,58.51,315.25,0.0,183.54,12.77,0.14,26.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,61.38,61.38,1042.92,1042.92,1104.3,0.0,743.5,182.64,926.14,257.07,199.03,399.87,64.47,920.43,2950.87,866.07,1.15,116.55,0.0,0.0,983.77,382.21,7.17,240.03,24.92,1638.1,395.09,447.67,392.4,12.86,41.67,23.1,1312.77,2950.87,255.52,30.1,0.0,140.57,0.96,42.53,9.0,373.21,39.35,355.79,0.0,240.08,16.19,0.32,15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,61.38,61.38,969.58,969.58,1030.96,0.0,683.74,107.42,791.16,322.36,270.72,558.03,47.89,1198.99,3021.11,832.83,1.45,144.88,0.0,0.0,979.16,350.35,0.0,254.99,24.92,1609.42,394.5,502.99,416.26,18.25,53.5,26.2,1411.69,3021.11,260.61,38.72,0.01,152.95,4.12,42.53,0.0,350.35,9.51,384.99,0.0,279.07,19.24,1.1,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
