Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,752.15,46.83,798.97,467.11,2.22,-22.03,72.69,47.39,32.47,0.0,115.67,83.45,11.53,94.98,33.34,61.64,0.0,61.64,22.04,39.6,6.62,46.22,89.17,5.18,5.16,2.87,32.0,6.04,100.0,68.0
2012-12-31,717.78,47.66,765.44,424.53,3.41,4.71,60.12,48.07,33.85,0.0,107.68,83.07,6.44,89.51,33.27,56.24,0.0,56.24,18.28,37.96,-5.13,32.83,89.4,3.3,3.29,2.9,32.0,6.04,100.0,68.0
2013-03-31,690.33,42.27,732.6,399.13,-0.95,27.86,57.56,41.99,34.62,0.0,116.48,55.92,14.3,70.22,35.52,34.7,0.0,34.7,-17.63,52.33,1.5,53.83,100.03,5.4,5.38,3.17,32.0,6.83,100.0,68.0
2013-06-30,620.52,44.06,664.58,408.41,0.92,-71.66,57.82,47.19,34.7,0.0,103.17,84.02,14.72,98.74,34.66,64.08,0.0,64.08,21.86,42.22,0.0,42.22,100.03,4.22,4.21,3.16,32.0,6.84,100.0,68.0
2013-09-30,906.9,66.05,972.95,525.01,1.64,13.17,76.17,56.01,502.69,0.0,113.56,-315.29,29.78,-285.5,35.76,-321.26,0.0,-321.26,-109.16,-212.11,0.0,-212.11,100.2,-21.19,-21.19,3.12,31.0,6.9,100.0,69.0
2013-12-31,895.56,64.09,959.64,556.38,2.97,-42.19,70.53,60.67,42.06,0.0,124.29,144.95,41.29,186.24,34.09,152.14,0.0,152.14,51.08,101.07,0.0,101.07,100.28,10.08,10.08,3.13,31.0,6.9,100.0,69.0
2014-03-31,872.47,61.55,934.02,481.99,1.44,-2.72,65.53,70.41,43.34,0.0,118.51,155.52,33.56,189.08,39.4,149.68,0.0,149.68,51.02,98.66,0.0,98.66,100.35,9.83,9.84,2.7,27.0,7.34,100.0,73.0
2014-06-30,883.71,68.42,952.13,540.89,2.64,-93.84,77.4,73.03,51.81,0.0,125.22,174.97,31.95,206.91,46.5,160.42,0.0,160.42,53.01,107.41,0.0,107.41,100.38,10.7,10.7,2.67,27.0,7.36,100.0,73.0
2014-09-30,1127.97,82.46,1210.43,581.88,0.0,45.27,86.92,84.2,57.32,0.0,147.32,207.52,19.46,226.99,47.47,179.52,0.0,179.52,43.48,136.04,0.0,136.04,100.43,13.55,13.54,2.68,27.0,7.36,100.0,73.0
2014-12-31,1055.26,77.65,1132.92,548.24,1.37,-10.07,84.47,83.06,77.65,0.0,142.82,205.38,14.12,219.5,57.97,161.53,0.0,161.53,29.49,132.04,0.0,132.04,100.44,13.15,13.15,2.68,27.0,7.36,100.0,73.0
2015-03-31,1044.97,67.12,1112.09,508.63,1.99,-11.39,96.87,85.04,79.5,0.0,167.36,184.1,28.89,212.98,28.7,184.28,0.0,184.28,49.64,134.65,0.0,134.65,100.46,13.4,13.4,2.66,26.51,7.38,100.0,73.49
2015-06-30,1103.88,62.25,1166.13,471.49,4.04,29.37,93.35,92.88,67.08,0.0,141.57,266.35,27.23,293.58,36.81,256.77,0.0,256.77,77.03,179.74,0.0,179.74,100.46,17.89,17.89,2.66,26.51,7.38,100.0,73.49
2015-09-30,1122.93,51.86,1174.79,540.76,7.41,-26.22,93.33,97.7,79.28,174.63,0.0,207.9,19.79,227.69,32.55,195.14,0.0,195.14,58.54,136.6,0.0,136.6,100.47,13.6,13.6,2.66,26.52,7.38,100.0,73.4
2015-12-31,1180.87,52.56,1233.43,602.2,6.12,-38.17,92.21,105.26,87.33,0.0,169.0,209.48,17.21,226.69,39.63,187.06,0.0,187.06,56.88,130.18,0.0,130.18,100.47,12.96,12.96,0.0,0.0,0.0,0.0,0.0
2016-03-31,1238.48,65.81,1304.29,559.9,7.16,36.8,0.0,94.58,92.06,0.0,281.61,232.18,45.6,277.78,44.93,232.85,0.0,232.85,56.14,176.71,0.0,176.71,100.47,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2016-06-30,1297.9,88.37,1386.27,634.53,14.37,-34.97,106.79,114.83,102.46,0.0,194.9,253.36,19.25,272.61,18.35,254.26,0.0,254.26,72.21,182.05,0.0,182.05,100.47,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2016-09-30,1423.11,109.71,1532.82,769.69,22.42,-54.34,87.67,108.75,116.61,0.0,243.21,238.81,22.89,261.7,14.69,247.01,-460.56,-213.55,-61.21,-152.34,0.0,-152.34,100.47,-1.52,-1.52,0.0,0.0,0.0,0.0,0.0
2016-12-31,1202.3,109.77,1312.07,679.66,9.83,-65.44,0.0,120.14,120.67,0.0,272.77,174.44,20.25,194.69,30.5,164.19,0.0,164.19,44.5,119.69,0.0,119.69,100.47,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2017-03-31,1325.24,152.92,1478.16,668.06,8.79,42.74,0.0,120.64,126.58,0.0,274.85,236.5,9.54,246.04,23.65,222.39,0.0,222.39,65.25,157.14,0.0,157.14,100.47,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2017-06-30,1187.17,122.88,1310.05,701.13,4.18,-50.43,0.0,122.92,109.58,0.0,291.93,130.74,11.72,142.46,23.69,118.77,0.0,118.77,30.93,87.84,0.0,87.84,100.47,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2017-09-30,1259.19,0.0,1259.19,554.73,11.46,91.84,0.0,125.12,119.79,0.0,267.79,88.46,11.1,99.56,19.76,79.8,0.0,79.8,21.09,58.71,0.0,58.71,100.47,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2017-12-31,1170.21,0.0,1170.21,565.32,6.37,23.33,0.0,119.49,118.43,0.0,240.66,96.61,19.3,115.91,21.29,94.62,0.0,94.62,9.85,84.77,0.0,84.77,100.47,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2018-03-31,1237.14,0.0,1237.14,591.11,8.39,6.07,0.0,129.14,119.52,0.0,272.39,110.52,13.43,123.95,23.27,100.68,0.0,100.68,27.9,72.78,0.0,72.78,100.47,0.72,0.72,0.0,0.0,0.0,0.0,0.0
2018-06-30,1329.34,0.0,1329.34,673.64,14.2,-0.23,0.0,122.38,98.01,0.0,284.92,136.42,13.25,149.67,21.54,128.13,0.0,128.13,40.34,87.79,0.0,87.79,100.47,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2018-09-30,1489.59,0.0,1489.59,788.71,23.41,-1.13,0.0,120.8,99.62,0.0,357.15,101.03,8.67,109.7,20.43,89.27,0.0,89.27,29.65,59.62,0.0,59.62,100.47,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2018-12-31,1318.92,0.0,1318.92,669.03,17.35,30.95,0.0,123.76,103.02,0.0,282.86,91.95,16.85,108.8,23.1,85.7,-29.35,56.35,18.29,38.06,0.0,38.06,100.47,0.38,0.38,0.0,0.0,0.0,0.0,0.0
2019-03-31,1257.42,0.0,1257.42,630.8,12.94,38.91,0.0,120.09,100.89,0.0,301.22,52.57,44.27,96.84,27.43,69.41,-167.33,-97.92,-54.22,-43.7,0.0,-43.7,100.47,-0.43,-0.43,0.0,0.0,0.0,0.0,0.0
2019-06-30,1435.38,0.0,1435.38,722.68,13.18,-46.25,0.0,128.71,95.03,0.0,277.72,244.31,8.88,253.19,19.87,233.32,0.0,233.32,78.51,154.81,0.0,154.81,100.47,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2019-09-30,1460.82,0.0,1460.82,715.33,13.68,21.66,0.0,138.08,97.17,0.0,266.06,208.84,9.95,218.79,18.55,200.24,0.0,200.24,36.85,163.39,0.0,163.39,100.47,1.63,1.63,0.0,0.0,0.0,0.0,0.0
2019-12-31,1337.34,0.0,1337.34,677.42,16.29,-48.67,0.0,136.44,98.61,0.0,273.23,184.02,13.04,197.06,24.82,172.24,-51.53,120.71,23.85,96.86,0.0,96.86,100.47,0.96,0.96,0.0,0.0,0.0,0.0,0.0
