Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-03-31,1184.72,0.0,1184.72,608.51,32.37,-76.36,0.0,134.84,97.33,0.0,309.43,78.6,11.27,89.87,31.58,58.29,0.0,58.29,-1.53,59.82,0.0,59.82,100.47,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2020-06-30,961.74,0.0,961.74,401.66,29.26,41.62,0.0,118.64,81.18,0.0,203.52,85.86,17.97,103.83,23.02,80.81,0.0,80.81,26.06,54.75,0.0,54.75,100.47,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2020-09-30,1535.84,0.0,1535.84,686.74,35.94,73.14,0.0,149.31,83.44,0.0,300.55,206.72,20.41,227.13,21.11,206.02,0.0,206.02,55.67,150.35,0.0,150.35,100.47,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2020-12-31,1740.02,0.0,1740.02,822.12,82.73,-7.61,0.0,143.95,83.25,0.0,350.31,265.27,19.69,284.96,19.96,265.0,0.0,265.0,80.06,184.94,0.0,184.94,100.47,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2021-03-31,1718.75,0.0,1718.75,913.5,76.54,-26.08,0.0,123.16,82.27,0.0,354.94,194.42,25.15,219.57,37.33,182.24,0.0,182.24,45.61,136.63,0.0,136.63,100.47,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2021-06-30,1730.6,0.0,1730.6,889.53,104.34,-59.25,0.0,136.69,66.19,0.0,330.99,262.11,17.04,279.15,29.3,249.85,0.0,249.85,81.8,168.05,0.0,168.05,100.47,1.67,1.67,0.0,0.0,0.0,0.0,0.0
2021-09-30,1782.11,0.0,1782.11,944.14,101.18,-36.11,0.0,152.33,69.87,0.0,359.37,191.33,19.64,210.97,14.84,196.13,0.0,196.13,69.21,126.92,0.0,126.92,98.81,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2021-12-31,1593.66,0.0,1593.66,882.23,67.06,-25.22,0.0,137.82,69.72,0.0,379.24,82.81,24.55,107.36,25.65,81.71,0.0,81.71,25.66,56.05,0.0,56.05,98.81,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2022-03-31,1597.1,0.0,1597.1,798.32,108.53,89.51,0.0,123.71,70.31,0.0,328.32,78.4,24.83,103.23,11.54,91.69,0.0,91.69,50.58,41.11,0.0,41.11,98.81,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2022-06-30,1381.14,0.0,1381.14,819.0,71.36,0.64,0.0,118.41,60.87,0.0,301.02,9.84,26.19,36.03,13.45,22.58,0.0,22.58,7.88,14.7,0.0,14.7,98.81,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2022-09-30,1529.61,0.0,1529.61,944.82,63.02,26.52,0.0,122.79,61.72,0.0,312.05,-1.31,28.02,26.71,14.68,12.03,0.0,12.03,4.19,7.84,0.0,7.84,98.81,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2022-12-31,1378.09,0.0,1378.09,775.66,14.32,33.48,0.0,120.84,64.13,0.0,316.02,53.64,41.85,95.49,16.31,79.18,0.0,79.18,27.2,51.98,0.0,51.98,98.81,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2023-03-31,1365.78,0.0,1365.78,748.38,28.42,29.63,0.0,125.1,63.6,0.0,286.14,84.51,44.84,129.35,16.71,112.64,0.0,112.64,35.48,77.16,0.0,77.16,98.81,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2023-06-30,1702.27,0.0,1702.27,1014.06,94.47,-113.29,0.0,141.83,55.69,0.0,311.48,198.03,25.81,223.84,15.22,208.62,0.0,208.62,53.14,155.48,0.0,155.48,97.18,1.6,1.6,0.0,0.0,0.0,0.0,0.0
2023-09-30,2008.64,0.0,2008.64,1124.8,81.72,29.53,0.0,166.45,55.37,0.0,353.35,197.42,41.48,238.9,15.61,223.29,0.0,223.29,55.44,167.85,0.0,167.85,97.18,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2023-12-31,1630.61,0.0,1630.61,1087.06,54.21,-207.03,0.0,176.42,56.36,0.0,343.23,120.36,31.29,151.65,18.5,133.15,0.0,133.15,38.7,94.45,0.0,94.45,97.18,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2024-03-31,2055.78,0.0,2055.78,1092.8,74.26,87.62,0.0,202.78,71.39,0.0,352.72,174.21,42.22,216.43,33.7,182.73,0.0,182.73,36.17,146.56,0.0,146.56,97.18,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2024-06-30,2169.86,0.0,2169.86,1287.01,109.48,-28.82,0.0,203.1,68.28,0.0,357.08,173.73,47.8,221.53,26.65,194.88,0.0,194.88,49.73,145.15,0.0,145.15,97.18,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2024-09-30,2396.27,0.0,2396.27,1398.78,100.79,-4.68,0.0,216.85,65.58,0.0,420.64,198.31,68.58,266.89,30.99,235.9,0.0,235.9,60.21,175.69,0.0,175.69,95.91,1.83,1.82,0.0,0.0,0.0,0.0,0.0
2024-12-31,1970.34,0.0,1970.34,1132.48,31.43,15.61,0.0,202.53,73.99,0.0,399.6,114.7,30.47,145.17,38.14,107.03,0.0,107.03,19.21,87.82,0.0,87.82,95.91,0.92,0.92,0.0,0.0,0.0,0.0,0.0
