Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value
2020-03-31,1.9,1.9,167.96,167.96,0.0,169.85,0.0,31.53,31.53,118.84,164.03,282.87,484.26,18.32,15.9,0.0,2.53,36.76,15.62,2.21,0.82,0.0,55.4,0.1,154.01,191.77,0.48,82.5,428.86,484.26,47.4,0.0,15.62,0.0
2021-03-31,1.9,1.9,177.54,177.54,0.0,179.43,0.0,15.4,15.4,69.09,131.66,200.75,395.58,8.96,11.82,0.06,0.4,21.24,16.12,3.73,0.85,5.32,47.26,0.12,47.67,232.44,0.41,67.67,348.32,395.58,40.51,0.0,16.12,0.0
2022-03-31,10.42,10.42,191.44,191.44,0.34,202.21,2.69,61.59,64.28,238.41,150.66,389.08,655.56,63.26,15.28,0.17,0.0,78.71,16.12,6.9,0.0,2.19,103.91,0.14,205.13,267.94,2.51,75.94,551.66,655.56,50.94,8.53,16.12,0.14
2023-03-31,10.42,10.42,242.81,242.81,5.38,258.61,2.93,62.4,65.33,301.03,185.14,486.16,810.11,62.61,9.52,0.0,0.0,72.13,16.12,11.85,10.06,3.88,114.04,0.2,309.69,277.33,0.71,108.14,696.07,810.11,50.12,8.53,16.12,0.2
2024-03-31,10.42,10.42,292.8,292.8,12.29,315.51,1.49,69.82,71.31,379.9,171.16,551.07,937.89,73.56,7.15,0.0,1.54,82.25,17.62,13.68,0.0,4.43,117.97,0.0,350.35,355.68,5.2,108.69,819.92,937.89,97.41,8.53,17.62,0.0
