Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2023-03-31,123.44,123.44,39.77,4.29,0.98,67.93,10.48,3.97,14.45,1.7,12.75,0.0,12.75,3.13,9.62,9.62,10.42,0.95,0.94
2023-06-30,14.91,14.91,3.67,0.43,0.09,8.11,2.6,0.38,2.98,0.17,2.81,-0.81,2.0,0.49,1.51,1.51,1.04,1.49,1.48
2023-09-30,262.1,262.1,74.47,8.64,1.84,137.35,39.8,5.96,45.76,3.47,42.28,-7.29,34.99,8.76,26.23,26.23,10.42,2.52,0.0
2023-12-31,124.16,124.16,44.51,4.97,0.99,61.36,12.33,7.94,20.28,1.99,18.28,0.0,18.28,4.62,13.66,13.66,10.42,1.35,1.34
2024-03-31,137.79,137.79,43.35,5.35,0.31,78.55,10.22,6.84,17.06,2.41,14.65,-6.7,7.95,2.17,5.78,5.78,10.42,0.57,0.56
2024-06-30,154.37,154.37,48.15,4.4,0.94,77.87,23.01,10.33,33.33,1.98,31.35,0.0,31.35,8.05,23.3,23.3,10.86,2.24,2.21
2024-09-30,141.95,141.95,54.64,4.14,0.0,72.13,11.03,8.36,19.39,1.78,17.61,0.0,17.61,4.04,13.57,13.57,10.86,1.29,1.27
2024-12-31,133.59,133.59,58.77,4.23,0.0,66.12,4.47,12.48,16.95,1.74,15.22,0.0,15.22,3.86,11.36,11.36,10.86,1.07,1.06
