Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,10663.2,157.02,10820.22,5733.37,0.8,-1120.88,1273.93,2089.83,402.63,1733.85,706.69,225.49,932.18,186.15,746.03,41.84,787.87,244.9,542.97,0.14,543.11,4130.53,1.31,1.31,58.53,14.17,354.47,100.0,85.82
2012-12-31,10494.63,175.49,10670.12,5296.34,1.07,-714.34,1114.04,2081.47,404.9,1753.12,733.52,220.85,954.37,222.04,732.33,-30.71,701.62,217.32,484.3,0.0,484.3,4130.53,1.17,1.17,58.54,14.17,354.47,100.0,85.82
2013-03-31,12162.49,167.93,12330.42,4527.2,0.22,1126.44,1218.51,2473.42,193.62,2060.77,730.24,208.95,939.19,214.59,724.6,16.49,741.09,294.61,446.48,0.05,446.53,4130.53,1.08,1.08,82.58,19.99,330.43,100.0,80.0
2013-06-30,10106.12,161.79,10267.91,4667.29,0.28,-610.98,1152.57,2294.79,392.85,1796.7,574.41,226.17,800.58,191.82,608.76,-87.88,520.88,69.97,450.91,0.0,450.91,4130.53,1.09,1.09,82.58,19.99,330.43,100.0,80.0
2013-09-30,11409.87,125.64,11535.51,4692.48,0.29,455.51,1297.68,2495.43,398.8,1727.23,468.09,152.71,620.8,216.48,404.32,988.12,1392.44,212.05,1180.39,0.0,1180.39,4130.53,2.86,2.86,82.58,19.99,330.43,100.0,80.0
2013-12-31,11362.7,96.02,11458.72,5081.81,0.07,-373.89,1229.83,2267.8,408.74,2121.12,723.24,208.8,932.04,246.77,685.27,19.92,705.19,172.59,532.6,0.0,532.6,4130.53,1.29,1.29,82.58,19.99,330.43,100.0,80.0
2014-03-31,13310.01,199.2,13509.21,4829.58,1423.99,0.14,1262.07,2520.58,516.3,2252.01,704.54,175.11,879.65,312.58,567.07,38.98,606.05,41.32,564.73,-112.14,452.59,4130.53,1.1,1.1,82.58,19.99,330.43,100.0,80.0
2014-06-30,11195.68,145.52,11341.2,4428.68,0.0,-43.9,1322.32,2456.46,407.95,2047.81,721.88,195.78,917.66,304.96,612.7,0.0,612.7,82.82,529.88,0.0,529.88,4130.53,1.28,1.28,82.58,19.99,330.43,100.0,80.0
2014-09-30,11565.59,113.08,11678.67,4369.14,0.0,-59.64,1475.14,2364.54,391.66,2193.08,944.75,161.97,1106.72,355.78,750.94,0.0,750.94,101.45,649.49,0.0,649.49,4130.53,1.57,1.57,52.58,19.99,330.43,100.0,80.0
2014-12-31,10977.41,129.91,11107.32,4666.21,0.26,-650.6,1350.81,2300.3,466.66,2232.24,741.44,345.21,1086.65,366.57,720.08,0.0,720.08,158.28,561.8,17.29,579.09,4130.53,1.4,1.4,103.23,24.99,309.78,100.0,75.01
2015-03-31,11469.37,115.74,11585.11,5060.87,0.22,-653.98,1275.26,2613.03,507.01,2359.85,422.85,279.26,702.11,426.92,275.19,0.0,275.19,-59.03,334.22,0.0,334.22,4130.53,0.81,0.81,103.23,24.99,309.78,100.0,75.0
2015-06-30,9373.85,119.26,9493.11,4814.66,0.48,-1144.01,1281.04,2403.05,451.84,2049.17,-363.12,206.87,-156.25,508.22,-664.47,0.0,-664.47,-416.29,-248.18,0.0,-248.18,4130.53,-0.6,-0.6,103.23,24.99,309.78,100.0,75.0
2015-09-30,9098.53,149.01,9247.54,4388.89,0.0,-324.25,1316.53,2411.7,528.38,2383.49,-1457.2,99.17,-1358.03,540.03,-1898.06,0.0,-1898.06,-790.02,-1108.04,0.0,-1108.04,4130.53,-2.68,-2.68,0.0,0.0,0.0,0.0,0.0
2015-12-31,8805.44,144.58,8950.02,4157.22,0.0,-17.97,1336.64,2399.73,530.37,2230.13,-1686.1,103.67,-1582.43,598.96,-2181.39,0.0,-2181.39,-700.33,-1481.06,0.0,-1481.06,4130.53,-3.59,-3.59,0.0,0.0,0.0,0.0,0.0
2016-03-31,11361.21,0.0,11361.21,3794.46,0.0,2026.84,0.0,2500.49,891.76,3943.44,-1795.78,184.96,-1610.82,653.24,-2264.06,0.0,-2264.06,-1079.42,-1184.64,0.0,-1184.64,4130.53,-2.87,-2.87,0.0,0.0,0.0,0.0,0.0
2016-06-30,9082.33,155.75,9238.08,3930.32,0.0,-727.62,1325.45,2388.55,600.21,2087.61,-366.44,89.28,-277.16,594.05,-871.21,-54.2,-925.41,-389.89,-535.52,0.0,-535.52,4130.53,-1.3,-1.3,0.0,0.0,0.0,0.0,0.0
2016-09-30,11079.29,146.31,11225.6,4152.6,0.0,1506.8,1270.97,2134.95,665.87,2048.85,-554.44,68.16,-486.28,602.76,-1089.04,-164.01,-1253.05,-521.47,-731.58,0.0,-731.58,4130.53,-1.77,-1.77,0.0,0.0,0.0,0.0,0.0
2016-12-31,11168.73,129.46,11298.19,5813.61,0.0,-331.75,1272.43,2343.27,669.94,2243.39,-712.7,68.82,-643.88,610.83,-1254.71,1.14,-1253.57,-458.73,-794.84,0.0,-794.84,4130.53,-1.92,-1.92,0.0,0.0,0.0,0.0,0.0
2017-03-31,12690.54,0.0,12690.54,7229.17,0.0,-326.8,0.0,2081.06,743.93,3971.51,-1008.33,309.35,-698.98,720.18,-1419.16,0.33,-1418.83,-647.53,-771.3,0.0,-771.3,4130.53,-1.87,-1.87,0.0,0.0,0.0,0.0,0.0
2017-06-30,11579.56,0.0,11579.56,6208.71,0.0,-99.22,0.0,2017.72,694.67,3536.25,-778.57,89.31,-689.26,587.86,-1277.12,-10.12,-1287.24,-485.86,-801.38,0.0,-801.38,4130.53,-1.94,-1.94,0.0,0.0,0.0,0.0,0.0
2017-09-30,13617.42,0.0,13617.42,6265.06,0.0,351.8,0.0,2327.84,762.22,3758.45,152.05,48.63,200.68,643.47,-442.79,-297.54,-740.33,-201.27,-539.06,0.0,-539.06,4130.53,-1.31,-1.31,0.0,0.0,0.0,0.0,0.0
