Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1089.23,0.0,1089.23,142.86,197.01,660.69,88.67,64.52,153.19,31.62,121.57,-25.01,96.56,28.96,67.6,67.6,285.0,2.37,2.37,5.22,18.3,20.7,95.39,72.64
2013-03-31,1150.23,0.0,1150.23,156.73,197.9,666.03,129.57,68.39,197.96,21.58,176.38,183.36,359.74,90.19,269.55,269.55,285.0,9.46,9.46,5.38,18.88,20.7,95.39,72.64
2013-06-30,1140.65,0.0,1140.65,156.3,190.59,711.32,82.44,64.46,146.9,15.86,131.04,216.22,347.26,115.55,231.71,231.71,285.0,8.13,8.13,5.82,21.28,20.53,95.36,72.05
2013-09-30,1219.23,0.0,1219.23,155.88,191.29,761.39,110.67,122.44,233.11,15.77,217.34,-134.89,82.45,35.65,46.8,46.8,285.0,1.64,1.64,7.13,25.01,20.37,95.32,71.48
2013-12-31,1159.83,42.35,1202.18,166.85,185.73,706.39,143.21,80.66,223.87,14.47,209.4,0.0,209.4,68.82,140.58,140.58,285.0,4.93,4.93,7.13,25.01,20.37,95.32,71.48
2014-03-31,810.34,4.0,814.34,161.78,112.62,558.55,-18.61,196.39,177.78,13.41,164.37,0.0,164.37,41.03,123.34,123.34,285.0,4.33,4.33,7.13,25.01,20.37,95.32,71.48
2014-06-30,1069.54,0.0,1069.54,185.17,176.84,623.8,83.73,117.32,201.05,11.81,189.24,0.0,189.24,63.59,125.65,125.65,285.0,4.41,4.41,7.13,25.01,20.37,95.32,71.48
2014-09-30,1097.81,0.0,1097.81,184.9,177.51,657.35,78.05,305.61,383.66,4.7,378.96,0.0,378.96,110.92,268.04,268.04,285.0,9.4,9.4,7.13,25.01,20.37,95.32,71.48
2014-12-31,1065.26,0.0,1065.26,181.93,180.93,636.71,65.69,121.44,187.13,3.91,183.22,0.0,183.22,63.02,120.2,120.2,285.0,4.22,4.22,7.13,25.01,20.37,95.32,71.48
2015-03-31,1083.42,3.32,1086.74,176.5,183.66,645.02,81.56,126.16,207.72,4.83,202.89,48.96,251.85,91.12,160.73,160.73,285.0,5.64,5.64,7.13,25.01,20.37,95.32,71.48
2015-06-30,1130.91,24.9,1155.81,181.89,181.32,696.92,95.68,110.84,206.52,10.05,196.47,0.0,196.47,68.21,128.26,128.26,285.0,4.5,4.5,7.13,25.01,20.37,95.32,71.48
2015-09-30,1178.76,25.35,1204.11,183.31,183.87,725.42,111.51,182.04,293.55,6.82,286.73,0.0,286.73,97.66,189.07,189.07,285.0,6.63,6.63,0.0,0.0,0.0,0.0,0.0
