Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,285.0,285.0,7600.61,7600.61,7885.61,625.0,428.69,123.67,1177.36,316.18,1144.56,567.48,329.23,2357.45,11420.42,4112.62,124.56,310.04,0.0,0.0,4547.22,2068.66,92.92,2212.82,8.08,8929.7,934.31,4.15,685.44,522.63,334.77,9.42,2490.72,11420.42,31280.86,460.88,7.21,1288.06,210.0,0.0,2190.66,934.31,0.0,0.85,230.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,285.0,285.0,8066.83,8066.83,8351.83,155.0,446.49,154.13,755.62,370.64,1016.45,635.92,602.46,2625.47,11732.92,3984.41,189.98,235.95,0.0,0.0,4410.34,3267.85,180.27,1781.36,8.08,9647.9,856.47,3.95,717.63,152.86,346.39,7.72,2085.02,11732.92,35600.93,408.85,10.47,1031.43,210.0,5.53,3425.66,856.47,0.0,0.29,204.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,285.0,285.0,8610.74,8610.74,8895.74,155.0,488.68,211.21,855.4,528.79,966.43,1241.86,33.73,2770.81,12521.95,3442.99,366.66,285.02,72.76,200.13,4367.56,3685.54,0.0,343.36,1809.05,10205.51,801.84,6.39,846.33,84.64,324.0,253.24,2316.44,12521.95,5093.94,0.0,0.0,0.0,210.0,2.38,3683.16,801.84,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,285.0,285.0,8970.21,8970.21,9255.21,155.0,482.67,228.74,866.41,582.25,1174.15,1235.11,32.15,3023.66,13145.28,3392.51,361.1,431.19,65.29,243.33,4493.42,4566.92,92.5,0.12,1955.06,11108.02,799.3,14.83,806.98,101.79,0.0,314.36,2037.26,13145.28,4008.99,623.11,10.17,898.45,210.0,2.86,4564.06,799.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,285.0,285.0,8518.46,8518.46,8803.46,150.0,489.11,211.01,850.12,368.9,1298.47,1550.24,31.56,3249.17,12902.75,3469.83,394.93,330.36,46.07,246.77,4487.96,4048.57,178.42,0.0,1921.27,10636.22,162.01,23.93,1159.27,615.03,0.0,306.29,2266.53,12902.75,4413.27,465.3,22.0,728.24,210.0,0.0,4048.57,162.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,285.0,285.0,7913.88,7913.88,8198.88,0.0,484.97,206.1,691.07,301.14,1802.08,1573.86,46.93,3724.01,12613.96,3834.25,454.18,190.78,19.53,308.82,4807.56,3423.59,235.63,0.0,1776.36,10243.14,449.44,63.1,1296.68,149.73,0.0,411.87,2370.82,12613.96,7207.5,991.27,0.0,546.55,210.0,0.0,3423.59,449.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,285.0,285.0,7935.6,7935.6,8220.6,10.64,880.38,243.13,1134.15,532.83,1591.45,1932.71,77.95,4134.94,13489.69,4377.68,478.58,117.29,32.18,396.16,5401.89,3472.97,318.03,0.0,1608.56,10801.45,564.77,68.32,1299.69,163.72,0.0,591.74,2688.24,13489.69,8303.75,701.71,24.39,554.33,210.0,0.0,3472.97,564.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,285.0,285.0,8781.53,8781.53,9066.53,532.14,844.51,240.03,1616.68,46.0,1531.99,1847.17,89.32,3514.48,14197.69,4219.97,436.53,155.08,49.96,404.2,5265.74,3577.28,336.24,0.0,1953.01,11132.27,1158.77,18.05,1089.84,249.24,0.0,549.52,3065.42,14197.69,9165.55,830.58,15.97,636.82,210.0,0.0,3577.28,1158.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,285.0,285.0,9517.63,9517.63,9802.63,533.87,795.65,273.96,1603.48,4.33,1315.28,1923.3,71.42,3314.33,14720.44,4155.16,499.26,416.59,31.11,406.03,5508.15,3856.88,318.98,79.46,1531.99,11295.46,419.76,17.77,1103.51,100.74,1114.15,669.05,3424.98,14720.44,10155.97,876.53,77.26,684.37,210.0,0.0,3856.88,419.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,285.0,285.0,9576.33,9576.33,9861.33,6.22,861.84,268.32,1136.38,530.62,1398.87,2233.89,104.19,4267.57,15265.28,4074.68,523.96,608.88,92.39,406.1,5706.01,3725.06,328.96,1206.63,1427.55,12394.21,691.84,115.34,1162.27,304.94,0.0,596.68,2871.07,15265.28,16148.6,937.78,89.49,795.47,210.0,0.0,3725.06,691.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,285.0,285.0,9605.14,9605.14,9890.14,1776.33,948.39,273.22,2997.94,936.8,1282.14,2580.89,95.82,4895.65,17783.73,4347.62,595.82,663.67,67.44,390.21,6064.76,6083.2,1045.52,1767.31,721.24,15682.03,0.0,33.42,1227.81,320.57,0.0,519.9,2101.7,17783.73,15479.4,1267.39,86.07,832.37,210.0,0.0,6083.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,285.0,285.0,10166.34,10166.34,10451.34,1762.82,1017.4,267.26,3047.48,1445.68,1442.17,2378.22,117.6,5383.67,18882.49,4619.55,659.01,598.33,0.0,0.0,5876.89,6317.14,570.53,1967.26,1218.12,15949.94,778.25,46.88,1188.34,246.72,0.0,672.36,2932.55,18882.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
