Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,285.0,285.0,4882.18,4882.18,5167.18,0.0,0.0,0.0,450.75,63.0,1043.31,290.83,191.76,1588.9,7206.82,1655.78,101.95,216.63,0.0,0.0,1974.36,2089.14,443.63,0.0,0.0,4507.14,0.0,2.41,440.2,1046.71,1169.27,41.09,2699.68,7206.82,2422.66,697.48,23.86,1383.57,210.0,99.77,2032.91,0.0,450.75,0.0,53.18,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,285.0,285.0,5443.05,5443.05,5728.05,0.0,0.0,0.0,185.78,0.0,1242.14,285.79,265.17,1793.1,7706.92,2250.08,96.95,513.17,0.0,0.0,2860.2,1200.58,86.1,0.0,0.0,4146.88,0.0,1.97,608.95,1409.12,1532.36,7.64,3560.04,7706.92,2280.87,754.76,17.12,1951.89,210.0,0.0,1200.58,0.0,185.78,0.0,596.69,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,285.0,285.0,5776.17,5776.17,6061.17,0.0,0.0,0.0,181.62,98.25,933.74,625.04,265.32,1922.35,8165.14,2895.41,113.14,147.81,0.0,0.0,3156.36,2499.34,106.53,0.0,0.0,5762.23,0.0,3.8,737.57,256.88,1346.08,58.58,2402.91,8165.14,2947.63,795.81,24.76,1712.01,210.0,0.0,2499.34,0.0,181.62,0.0,163.99,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,285.0,285.0,6074.5,6074.5,6359.5,0.0,0.0,0.0,202.38,197.61,814.53,762.46,279.13,2053.73,8615.61,3041.03,113.14,340.44,0.0,0.0,3494.61,2673.58,130.7,0.0,0.0,6298.89,0.0,4.72,955.19,104.31,1191.94,60.56,2316.72,8615.61,11624.1,1073.77,13.59,1759.12,210.0,0.0,2673.58,0.0,202.38,0.0,234.06,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,285.0,285.0,6262.34,6262.34,6547.34,350.0,0.0,0.0,560.27,427.8,1204.38,785.52,251.28,2668.98,9776.59,2988.9,0.0,543.77,0.0,0.0,3532.67,2103.77,126.14,0.0,0.0,5762.58,0.0,5.45,1063.13,79.63,2482.08,383.72,4014.01,9776.59,5140.02,783.42,10.58,1035.27,210.0,0.0,2103.77,0.0,210.27,0.0,312.77,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,285.0,285.0,6513.05,6513.05,6798.05,1738.82,0.0,0.0,2000.45,589.05,1811.36,796.13,288.61,3485.15,12283.65,4097.94,0.0,536.38,0.0,0.0,4634.32,2723.67,128.38,0.0,0.0,7486.37,0.0,1.56,1342.22,372.37,3079.67,1.46,4797.28,12283.65,8449.09,1037.32,10.39,933.2,210.0,0.0,2723.67,0.0,261.63,0.0,458.39,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,285.0,285.0,6995.78,6995.78,7280.78,2520.17,0.0,0.0,2790.68,118.74,1157.28,656.88,174.67,2107.57,12179.03,4504.8,0.0,386.15,0.0,0.0,4890.95,2501.3,95.4,0.0,0.0,7487.65,0.0,1.25,632.29,110.86,3938.73,8.25,4691.38,12179.03,10409.16,586.43,11.98,831.52,210.0,0.0,2501.3,0.0,270.51,0.0,251.09,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,285.0,285.0,6722.48,6722.48,7007.48,1231.14,336.38,95.14,1788.59,175.29,1030.63,1355.85,94.07,2655.84,11451.91,4696.71,108.48,220.22,0.0,0.0,5025.41,1788.11,0.0,3002.07,8.08,9823.67,44.71,5.34,612.62,430.77,340.11,194.69,1628.24,11451.91,13805.31,483.37,0.0,885.25,210.0,0.0,1788.11,44.71,125.93,1.35,132.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,285.0,285.0,6851.97,6851.97,7136.97,825.0,384.08,127.68,1353.18,125.83,1202.14,952.69,85.3,2365.96,10856.11,4661.1,90.9,303.34,0.0,0.0,5055.34,1788.27,0.0,2761.94,8.08,9613.63,0.0,0.45,845.77,53.32,318.31,24.63,1242.48,10856.11,16967.16,531.96,4.67,1036.72,210.0,0.0,1788.27,0.0,16.42,1.66,150.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,285.0,285.0,7231.42,7231.42,7516.42,625.0,391.56,122.16,1138.72,149.7,1248.3,537.17,110.52,2045.69,10700.83,4694.91,138.54,174.66,0.0,0.0,5008.11,2030.51,8.71,1683.02,8.08,8738.43,462.41,4.2,861.02,328.62,285.85,20.3,1962.4,10700.83,21836.06,485.51,4.7,1250.52,210.0,0.0,2030.51,462.41,0.0,1.42,274.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
